# SAXS profile: number of points = 471, q_min = 0.013682, q_max = 0.29945, delta_q = 0.000608017021276596
# offset = 0.00000000000000, scaling c = 1.93956754349253e-06, Chi = 1.17061348896766
#  q       exp_intensity   model_intensity
0.01368    16.13760000     17.26129103    
0.01429    16.31170000     17.20085610    
0.01490    16.22510000     17.13833470    
0.01551    16.73190000     17.07254591    
0.01611    16.90370000     17.00537857    
0.01672    16.80070000     16.93509168    
0.01733    16.61900000     16.86364779    
0.01794    16.68250000     16.79122921    
0.01855    16.83210000     16.71402544    
0.01915    16.83530000     16.63523286    
0.01976    16.26740000     16.55388654    
0.02037    16.20800000     16.47040718    
0.02098    16.30630000     16.38556521    
0.02159    16.35650000     16.29742318    
0.02219    16.35260000     16.20810278    
0.02280    16.18170000     16.11653669    
0.02341    16.13910000     16.02279751    
0.02402    15.95960000     15.92791979    
0.02463    15.90370000     15.83003714    
0.02524    15.63770000     15.73099431    
0.02584    15.48050000     15.63011000    
0.02645    15.50650000     15.52691495    
0.02706    15.50770000     15.42287050    
0.02767    15.41650000     15.31631356    
0.02828    15.39070000     15.20855095    
0.02888    15.24560000     15.09933804    
0.02949    15.12640000     14.98805901    
0.03010    15.07680000     14.87589341    
0.03071    14.99440000     14.76169865    
0.03132    14.80810000     14.64704298    
0.03192    14.55790000     14.53196139    
0.03253    14.49270000     14.41370637    
0.03314    14.33530000     14.29451940    
0.03375    14.37730000     14.17373251    
0.03436    14.30030000     14.05160801    
0.03497    14.23650000     13.92888140    
0.03557    13.90860000     13.80443348    
0.03618    13.80990000     13.67937737    
0.03679    13.69990000     13.55313450    
0.03740    13.41480000     13.42586154    
0.03800    13.22990000     13.29802927    
0.03861    13.22720000     13.16876965    
0.03922    13.20010000     13.03902579    
0.03983    13.16370000     12.90843397    
0.04044    12.96480000     12.77789252    
0.04104    12.84610000     12.64719682    
0.04165    12.58540000     12.51410581    
0.04226    12.39100000     12.38082553    
0.04287    12.29850000     12.24700665    
0.04348    12.00770000     12.11253894    
0.04409    12.01000000     11.97779671    
0.04469    11.84680000     11.84245924    
0.04530    11.71830000     11.70683060    
0.04591    11.66350000     11.57090691    
0.04652    11.36600000     11.43459590    
0.04713    11.06330000     11.29837691    
0.04773    11.11380000     11.16276734    
0.04834    10.88690000     11.02640041    
0.04895    10.75960000     10.88944442    
0.04956    10.65250000     10.75216103    
0.05017    10.52740000     10.61509770    
0.05078    10.41270000     10.47804428    
0.05138    10.17200000     10.34106072    
0.05199    10.05640000     10.20411821    
0.05260    9.92259000      10.06740826    
0.05321    9.68897000      9.93114701     
0.05382    9.63353000      9.79574824     
0.05442    9.51026000      9.65996817     
0.05503    9.32818000      9.52404893     
0.05564    9.22567000      9.38864336     
0.05625    8.95248000      9.25350421     
0.05686    8.99002000      9.11875445     
0.05746    8.78184000      8.98456198     
0.05807    8.84211000      8.85042312     
0.05868    8.68574000      8.71724549     
0.05929    8.57804000      8.58491195     
0.05990    8.30168000      8.45351629     
