# SAXS profile: number of points = 471, q_min = 0.013682, q_max = 0.29945, delta_q = 0.000608017021276596
# offset = 0.00000000000000, scaling c = 1.60203354798792e-06, Chi = 12.4012445108615
#  q       exp_intensity   model_intensity
0.01368    16.13760000     23.00270397    
0.01429    16.31170000     22.83494412    
0.01490    16.22510000     22.66211561    
0.01551    16.73190000     22.48160860    
0.01611    16.90370000     22.29791888    
0.01672    16.80070000     22.10714466    
0.01733    16.61900000     21.91368217    
0.01794    16.68250000     21.71795502    
0.01855    16.83210000     21.51234772    
0.01915    16.83530000     21.30345513    
0.01976    16.26740000     21.08957370    
0.02037    16.20800000     20.87167276    
0.02098    16.30630000     20.65120410    
0.02159    16.35650000     20.42489693    
0.02219    16.35260000     20.19662849    
0.02280    16.18170000     19.96464856    
0.02341    16.13910000     19.72935281    
0.02402    15.95960000     19.49233274    
0.02463    15.90370000     19.25112830    
0.02524    15.63770000     19.00846845    
0.02584    15.48050000     18.76349852    
0.02645    15.50650000     18.51576019    
0.02706    15.50770000     18.26734821    
0.02767    15.41650000     18.01656013    
0.02828    15.39070000     17.76483571    
0.02888    15.24560000     17.51198497    
0.02949    15.12640000     17.25789390    
0.03010    15.07680000     17.00375812    
0.03071    14.99440000     16.75088084    
0.03132    14.80810000     16.49642655    
0.03192    14.55790000     16.24051499    
0.03253    14.49270000     15.98464472    
0.03314    14.33530000     15.72889897    
0.03375    14.37730000     15.47354981    
0.03436    14.30030000     15.21837043    
0.03497    14.23650000     14.96402568    
0.03557    13.90860000     14.71104239    
0.03618    13.80990000     14.45870533    
0.03679    13.69990000     14.20769661    
0.03740    13.41480000     13.95818157    
0.03800    13.22990000     13.70949888    
0.03861    13.22720000     13.46545927    
0.03922    13.20010000     13.22177723    
0.03983    13.16370000     12.97872137    
0.04044    12.96480000     12.73810933    
0.04104    12.84610000     12.49872732    
0.04165    12.58540000     12.26238232    
0.04226    12.39100000     12.02814917    
0.04287    12.29850000     11.79619247    
0.04348    12.00770000     11.56758384    
0.04409    12.01000000     11.34052453    
0.04469    11.84680000     11.11734242    
0.04530    11.71830000     10.89729104    
0.04591    11.66350000     10.68041191    
0.04652    11.36600000     10.46632058    
0.04713    11.06330000     10.25376616    
0.04773    11.11380000     10.04523813    
0.04834    10.88690000     9.83964903     
0.04895    10.75960000     9.63634578     
0.04956    10.65250000     9.43761394     
0.05017    10.52740000     9.24114163     
0.05078    10.41270000     9.04861755     
0.05138    10.17200000     8.85955551     
0.05199    10.05640000     8.67252735     
0.05260    9.92259000      8.49219790     
0.05321    9.68897000      8.31343565     
0.05382    9.63353000      8.13751437     
0.05442    9.51026000      7.96548841     
0.05503    9.32818000      7.79545084     
0.05564    9.22567000      7.63071334     
0.05625    8.95248000      7.46823909     
0.05686    8.99002000      7.30907275     
0.05746    8.78184000      7.15489491     
0.05807    8.84211000      7.00254643     
0.05868    8.68574000      6.85430574     
0.05929    8.57804000      6.70861124     
0.05990    8.30168000      6.56574590     
0.06050    8.16084000      6.42727343     
0.06111    8.11829000      6.29066315     
0.06172    7.88898000      6.15828539     
0.06233    7.79278000      6.02912178     
0.06294    7.60321000      5.90270202     
0.06354    7.51803000      5.77989595     
0.06415    7.41675000      5.65872287     
0.06476    7.34206000      5.54117340     
0.06537    7.18124000      5.42645853     
0.06598    6.97635000      5.31340672     
0.06659    6.94930000      5.20490681     
0.06719    6.77145000      5.09820562     
0.06780    6.73153000      4.99500301     
0.06841    6.55414000      4.89413771     
0.06902    6.53181000      4.79452347     
0.06963    6.39937000      4.69886630     
0.07023    6.30118000      4.60470780     
0.07084    6.26102000      4.51296138     
0.07145    5.98235000      4.42445801     
0.07206    6.06386000      4.33737791     
0.07266    5.87076000      4.25295452     
0.07327    5.74372000      4.17006521     
0.07388    5.61265000      4.08905842     
0.07449    5.42593000      4.01054797     
0.07510    5.39857000      3.93339474     
0.07571    5.30086000      3.85931579     
0.07631    5.21220000      3.78645881     
0.07692    5.01590000      3.71474599     
0.07753    4.94801000      3.64545946     
0.07814    4.84938000      3.57712813     
0.07875    4.78667000      3.51083392     
0.07935    4.68437000      3.44628386     
0.07996    4.61309000      3.38298529     
0.08057    4.53519000      3.32140807     
0.08118    4.41008000      3.26059099     
0.08179    4.31953000      3.20133300     
0.08239    4.19512000      3.14342639     
0.08300    4.10765000      3.08626165     
0.08361    4.05971000      3.03139204     
0.08422    3.96644000      2.97710934     
0.08483    3.88501000      2.92370912     
0.08543    3.75947000      2.87154146     
0.08604    3.61951000      2.82000637     
0.08665    3.62792000      2.77034216     
0.08726    3.53053000      2.72114304     
0.08787    3.43022000      2.67257062     
0.08847    3.31475000      2.62510204     
0.08908    3.21711000      2.57812412     
0.08969    3.15059000      2.53229480     
0.09030    3.06347000      2.48724654     
0.09091    3.03632000      2.44300547     
0.09151    2.93883000      2.39944316     
0.09212    2.90445000      2.35622564     
0.09273    2.84910000      2.31381474     
0.09334    2.78193000      2.27222546     
0.09395    2.71202000      2.23122892     
0.09456    2.66856000      2.19081829     
0.09516    2.58698000      2.15070879     
0.09577    2.51525000      2.11126624     
0.09638    2.42613000      2.07255189     
0.09699    2.36679000      2.03427449     
0.09760    2.31842000      1.99650560     
0.09820    2.24621000      1.95901202     
0.09881    2.18862000      1.92204343     
0.09942    2.11544000      1.88577298     
0.10003    2.02879000      1.84983587     
0.10064    2.00068000      1.81433056     
0.10124    1.94209000      1.77910641     
0.10185    1.91709000      1.74430172     
0.10246    1.84013000      1.71012924     
0.10307    1.78997000      1.67628076     
0.10368    1.70303000      1.64279869     
0.10429    1.64781000      1.60962155     
0.10489    1.62900000      1.57679001     
0.10550    1.56742000      1.54464738     
0.10611    1.55562000      1.51272521     
0.10672    1.52379000      1.48113868     
0.10733    1.48219000      1.44987998     
0.10793    1.45171000      1.41890675     
0.10854    1.39900000      1.38865217     
0.10915    1.31810000      1.35858662     
0.10976    1.28013000      1.32882924     
0.11037    1.20964000      1.29943621     
