# SAXS profile: number of points = 471, q_min = 0.013682, q_max = 0.29945, delta_q = 0.000608017021276596
# offset = 0.00000000000000, scaling c = 1.28530968845632e-06, Chi = 4.08056310685328
#  q       exp_intensity   model_intensity
0.01368    16.13760000     16.37536671    
0.01429    16.31170000     16.32520182    
0.01490    16.22510000     16.27327716    
0.01551    16.73190000     16.21950541    
0.01611    16.90370000     16.16454028    
0.01672    16.80070000     16.10601729    
0.01733    16.61900000     16.04574551    
0.01794    16.68250000     15.98400051    
0.01855    16.83210000     15.91941961    
0.01915    16.83530000     15.85361796    
0.01976    16.26740000     15.78560843    
0.02037    16.20800000     15.71574824    
0.02098    16.30630000     15.64470581    
0.02159    16.35650000     15.57078174    
0.02219    16.35260000     15.49582319    
0.02280    16.18170000     15.41889205    
0.02341    16.13910000     15.34003886    
0.02402    15.95960000     15.26017799    
0.02463    15.90370000     15.17763843    
0.02524    15.63770000     15.09405682    
0.02584    15.48050000     15.00882120    
0.02645    15.50650000     14.92150064    
0.02706    15.50770000     14.83349790    
0.02767    15.41650000     14.74411446    
0.02828    15.39070000     14.65315114    
0.02888    15.24560000     14.56028736    
0.02949    15.12640000     14.46549481    
0.03010    15.07680000     14.36986989    
0.03071    14.99440000     14.27232662    
0.03132    14.80810000     14.17363288    
0.03192    14.55790000     14.07387604    
0.03253    14.49270000     13.97226547    
0.03314    14.33530000     13.86991924    
0.03375    14.37730000     13.76599910    
0.03436    14.30030000     13.66076637    
0.03497    14.23650000     13.55490187    
0.03557    13.90860000     13.44816216    
0.03618    13.80990000     13.34056312    
0.03679    13.69990000     13.23106291    
0.03740    13.41480000     13.12046566    
0.03800    13.22990000     13.00927238    
0.03861    13.22720000     12.89651712    
0.03922    13.20010000     12.78321710    
0.03983    13.16370000     12.66896313    
0.04044    12.96480000     12.55371295    
0.04104    12.84610000     12.43804065    
0.04165    12.58540000     12.32177328    
0.04226    12.39100000     12.20479906    
0.04287    12.29850000     12.08663925    
0.04348    12.00770000     11.96760803    
0.04409    12.01000000     11.84819740    
0.04469    11.84680000     11.72792233    
0.04530    11.71830000     11.60718656    
0.04591    11.66350000     11.48598398    
0.04652    11.36600000     11.36408475    
0.04713    11.06330000     11.24207467    
0.04773    11.11380000     11.12010353    
0.04834    10.88690000     10.99733471    
0.04895    10.75960000     10.87394545    
0.04956    10.65250000     10.74985294    
0.05017    10.52740000     10.62579825    
0.05078    10.41270000     10.50142334    
0.05138    10.17200000     10.37682316    
0.05199    10.05640000     10.25209063    
0.05260    9.92259000      10.12782486    
0.05321    9.68897000      10.00325656    
0.05382    9.63353000      9.87808860     
0.05442    9.51026000      9.75286925     
0.05503    9.32818000      9.62762791     
0.05564    9.22567000      9.50239567     
0.05625    8.95248000      9.37720801     
0.05686    8.99002000      9.25208550     
0.05746    8.78184000      9.12760136     
0.05807    8.84211000      9.00306608     
0.05868    8.68574000      8.87838788     
0.05929    8.57804000      8.75387880     
0.05990    8.30168000      8.62955763     
0.06050    8.16084000      8.50560643     
0.06111    8.11829000      8.38193969     
0.06172    7.88898000      8.25919467     
0.06233    7.79278000      8.13644261     
0.06294    7.60321000      8.01368453     
0.06354    7.51803000      7.89152479     
0.06415    7.41675000      7.76962748     
0.06476    7.34206000      7.64830631     
0.06537    7.18124000      7.52782152     
0.06598    6.97635000      7.40768493     
0.06659    6.94930000      7.28806975     
0.06719    6.77145000      7.16877655     
0.06780    6.73153000      7.05014830     
0.06841    6.55414000      6.93222445     
0.06902    6.53181000      6.81468821     
0.06963    6.39937000      6.69871215     
0.07023    6.30118000      6.58298851     
0.07084    6.26102000      6.46767112     
0.07145    5.98235000      6.35326377     
0.07206    6.06386000      6.23934404     
0.07266    5.87076000      6.12702283     
0.07327    5.74372000      6.01509324     
0.07388    5.61265000      5.90364421     
0.07449    5.42593000      5.79314370     
0.07510    5.39857000      5.68333379     
0.07571    5.30086000      5.57474546     
0.07631    5.21220000      5.46715373     
0.07692    5.01590000      5.36049516     
0.07753    4.94801000      5.25481341     
0.07814    4.84938000      5.14963919     
0.07875    4.78667000      5.04570393     
0.07935    4.68437000      4.94294697     
0.07996    4.61309000      4.84103547     
0.08057    4.53519000      4.74033839     
0.08118    4.41008000      4.64022430     
0.08179    4.31953000      4.54132302     
0.08239    4.19512000      4.44378251     
0.08300    4.10765000      4.34698584     
0.08361    4.05971000      4.25146420     
0.08422    3.96644000      4.15675461     
0.08483    3.88501000      4.06320885     
0.08543    3.75947000      3.97120972     
0.08604    3.61951000      3.87993502     
0.08665    3.62792000      3.79009684     
0.08726    3.53053000      3.70106426     
0.08787    3.43022000      3.61311725     
0.08847    3.31475000      3.52688861     
0.08908    3.21711000      3.44136519     
0.08969    3.15059000      3.35725911     
0.09030    3.06347000      3.27410923     
0.09091    3.03632000      3.19194757     
0.09151    2.93883000      3.11165875     
0.09212    2.90445000      3.03205463     
0.09273    2.84910000      2.95368811     
0.09334    2.78193000      2.87668421     
0.09395    2.71202000      2.80065298     
0.09456    2.66856000      2.72621456     
0.09516    2.58698000      2.65246149     
0.09577    2.51525000      2.58016058     
0.09638    2.42613000      2.50923546     
0.09699    2.36679000      2.43913583     
0.09760    2.31842000      2.37077259     
0.09820    2.24621000      2.30311063     
0.09881    2.18862000      2.23676827     
0.09942    2.11544000      2.17191976     
0.10003    2.02879000      2.10782186     
0.10064    2.00068000      2.04542100     
0.10124    1.94209000      1.98387828     
0.10185    1.91709000      1.92361579     
0.10246    1.84013000      1.86459703     
0.10307    1.78997000      1.80632564     
0.10368    1.70303000      1.74977321     
0.10429    1.64781000      1.69419698     
0.10489    1.62900000      1.63972716     
0.10550    1.56742000      1.58669170     
0.10611    1.55562000      1.53432716     
0.10672    1.52379000      1.48363167     
0.10733    1.48219000      1.43385795     
0.10793    1.45171000      1.38488693     
0.10854    1.39900000      1.33767160     
0.10915    1.31810000      1.29108902     
0.10976    1.28013000      1.24578583     
0.11037    1.20964000      1.20156511     
0.11097    1.20700000      1.15806509     
0.11158    1.16692000      1.11635860     
0.11219    1.13138000      1.07524461     
0.11280    1.06591000      1.03519364     
