# SAXS profile: number of points = 471, q_min = 0.013682, q_max = 0.29945, delta_q = 0.000608017021276596
# offset = 0.00000000000000, scaling c = 1.42507273696889e-06, Chi = 3.58337471678191
#  q       exp_intensity   model_intensity
0.01368    16.13760000     16.59863315    
0.01429    16.31170000     16.54667719    
0.01490    16.22510000     16.49290181    
0.01551    16.73190000     16.43725825    
0.01611    16.90370000     16.38038083    
0.01672    16.80070000     16.31978853    
0.01733    16.61900000     16.25739183    
0.01794    16.68250000     16.19347505    
0.01855    16.83210000     16.12663170    
0.01915    16.83530000     16.05852911    
0.01976    16.26740000     15.98815093    
0.02037    16.20800000     15.91586608    
0.02098    16.30630000     15.84236322    
0.02159    16.35650000     15.76589242    
0.02219    16.35260000     15.68835738    
0.02280    16.18170000     15.60879320    
0.02341    16.13910000     15.52725261    
0.02402    15.95960000     15.44467596    
0.02463    15.90370000     15.35934875    
0.02524    15.63770000     15.27295158    
0.02584    15.48050000     15.18485611    
0.02645    15.50650000     15.09462257    
0.02706    15.50770000     15.00369624    
0.02767    15.41650000     14.91140207    
0.02828    15.39070000     14.81746810    
0.02888    15.24560000     14.72156161    
0.02949    15.12640000     14.62368392    
0.03010    15.07680000     14.52495608    
0.03071    14.99440000     14.42427037    
0.03132    14.80810000     14.32241263    
0.03192    14.55790000     14.21947185    
0.03253    14.49270000     14.11464618    
0.03314    14.33530000     14.00907279    
0.03375    14.37730000     13.90190001    
0.03436    14.30030000     13.79339401    
0.03497    14.23650000     13.68425083    
0.03557    13.90860000     13.57427580    
0.03618    13.80990000     13.46341863    
0.03679    13.69990000     13.35060025    
0.03740    13.41480000     13.23667854    
0.03800    13.22990000     13.12215739    
0.03861    13.22720000     13.00606663    
0.03922    13.20010000     12.88943064    
0.03983    13.16370000     12.77183987    
0.04044    12.96480000     12.65325365    
0.04104    12.84610000     12.53425103    
0.04165    12.58540000     12.41471586    
0.04226    12.39100000     12.29445726    
0.04287    12.29850000     12.17298406    
0.04348    12.00770000     12.05065351    
0.04409    12.01000000     11.92795050    
0.04469    11.84680000     11.80440195    
0.04530    11.71830000     11.68040615    
0.04591    11.66350000     11.55595717    
0.04652    11.36600000     11.43083887    
0.04713    11.06330000     11.30563338    
0.04773    11.11380000     11.18053924    
0.04834    10.88690000     11.05463810    
0.04895    10.75960000     10.92810931    
0.04956    10.65250000     10.80091420    
0.05017    10.52740000     10.67377883    
0.05078    10.41270000     10.54635768    
0.05138    10.17200000     10.41874392    
0.05199    10.05640000     10.29101700    
0.05260    9.92259000      10.16386054    
0.05321    9.68897000      10.03640606    
0.05382    9.63353000      9.90835767     
0.05442    9.51026000      9.78030248     
0.05503    9.32818000      9.65224805     
0.05564    9.22567000      9.52426332     
0.05625    8.95248000      9.39664323     
0.05686    8.99002000      9.26955609     
0.05746    8.78184000      9.14210505     
0.05807    8.84211000      9.01437185     
0.05868    8.68574000      8.88715835     
0.05929    8.57804000      8.76015027     
0.05990    8.30168000      8.63337044     
0.06050    8.16084000      8.50757328     
0.06111    8.11829000      8.38196652     
0.06172    7.88898000      8.25630495     
0.06233    7.79278000      8.13101581     
0.06294    7.60321000      8.00604460     
0.06354    7.51803000      7.88175047     
0.06415    7.41675000      7.75789978     
0.06476    7.34206000      7.63514046     
0.06537    7.18124000      7.51256452     
0.06598    6.97635000      7.38990676     
0.06659    6.94930000      7.26840497     
0.06719    6.77145000      7.14727896     
0.06780    6.73153000      7.02688029     
0.06841    6.55414000      6.90761621     
0.06902    6.53181000      6.78892195     
