# SAXS profile: number of points = 279, q_min = 0.0165457, q_max = 0.251469, delta_q = 0.000845047841726619
# offset = 0.00000000000000, scaling c = 1.87908208373570e-06, Chi = 6.60667940744394
#  q       exp_intensity   model_intensity
0.01655    149.72100000    158.69883698   
0.01739    145.88900000    155.09446587   
0.01824    142.60200000    151.41093300   
0.01908    139.74500000    147.64336216   
0.01993    136.07000000    143.80765936   
0.02077    132.68100000    139.91885124   
0.02162    129.56200000    135.99305249   
0.02246    126.39900000    132.04116202   
0.02331    121.91200000    128.07199288   
0.02415    117.48200000    124.09602615   
0.02500    113.25500000    120.12186986   
0.02584    110.70100000    116.16504693   
0.02669    106.08800000    112.23281043   
0.02753    102.63700000    108.33423185   
0.02838    99.46050000     104.47635291   
0.02922    95.74980000     100.66767573   
0.03007    92.34920000     96.91519446    
0.03091    88.97020000     93.24418611    
0.03176    86.09570000     89.64206645    
0.03260    84.51800000     86.11732231    
0.03345    81.37050000     82.67516140    
0.03429    77.23880000     79.32103071    
0.03514    74.92990000     76.05839678    
0.03598    72.21520000     72.89430005    
0.03683    69.40170000     69.84938186    
0.03767    67.28110000     66.90763337    
0.03852    65.28210000     64.07032454    
0.03936    62.47080000     61.34228216    
0.04021    59.97240000     58.72319809    
0.04105    57.86920000     56.20744965    
0.04190    55.80730000     53.81571642    
0.04274    53.94820000     51.54015094    
0.04359    52.11380000     49.37138391    
0.04443    50.23070000     47.30800142    
0.04528    48.60430000     45.34894117    
0.04612    47.43720000     43.49251462    
0.04697    45.80730000     41.74487985    
0.04781    44.29550000     40.10650073    
0.04866    42.71190000     38.56156478    
0.04950    41.29670000     37.10678750    
0.05035    39.78250000     35.73932387    
0.05119    38.57080000     34.45550517    
0.05204    37.37560000     33.25208196    
0.05288    36.14650000     32.13735961    
0.05373    35.24420000     31.10051333    
0.05457    34.07950000     30.12871237    
0.05542    32.80910000     29.21909270    
0.05626    31.85770000     28.36871183    
0.05711    30.71710000     27.57398122    
0.05795    29.86650000     26.83398436    
0.05880    29.05250000     26.15059249    
0.05964    28.60330000     25.50726580    
0.06049    27.81670000     24.90200625    
0.06133    27.15230000     24.33193003    
0.06218    26.41830000     23.79384552    
