# SAXS profile: number of points = 279, q_min = 0.0165457, q_max = 0.251469, delta_q = 0.000845047841726619
# offset = 0.00000000000000, scaling c = 2.83375387906952e-06, Chi = 1.82622408866882
#  q       exp_intensity   model_intensity
0.01655    149.72100000    156.73020703   
0.01739    145.88900000    152.63100073   
0.01824    142.60200000    148.45946606   
0.01908    139.74500000    144.25494614   
0.01993    136.07000000    140.03046004   
0.02077    132.68100000    135.80623192   
0.02162    129.56200000    131.59568645   
0.02246    126.39900000    127.41178926   
0.02331    121.91200000    123.26480099   
0.02415    117.48200000    119.16623855   
0.02500    113.25500000    115.12545905   
0.02584    110.70100000    111.16952850   
0.02669    106.08800000    107.29237427   
0.02753    102.63700000    103.50148865   
0.02838    99.46050000     99.80192176    
0.02922    95.74980000     96.21441198    
0.03007    92.34920000     92.71246426    
0.03091    88.97020000     89.32978084    
0.03176    86.09570000     86.06559569    
0.03260    84.51800000     82.91206611    
0.03345    81.37050000     79.86914191    
0.03429    77.23880000     76.93774780    
0.03514    74.92990000     74.11689641    
0.03598    72.21520000     71.40911821    
0.03683    69.40170000     68.83038971    
0.03767    67.28110000     66.36735207    
0.03852    65.28210000     63.99620691    
0.03936    62.47080000     61.72515008    
0.04021    59.97240000     59.55051929    
0.04105    57.86920000     57.46959927    
0.04190    55.80730000     55.49090362    
0.04274    53.94820000     53.60326625    
0.04359    52.11380000     51.79592700    
0.04443    50.23070000     50.07262785    
0.04528    48.60430000     48.41440152    
0.04612    47.43720000     46.82503028    
0.04697    45.80730000     45.30418440    
0.04781    44.29550000     43.85460580    
0.04866    42.71190000     42.46183480    
0.04950    41.29670000     41.12233625    
0.05035    39.78250000     39.83948580    
0.05119    38.57080000     38.59788181    
0.05204    37.37560000     37.40131864    
0.05288    36.14650000     36.25376373    
0.05373    35.24420000     35.14756934    
0.05457    34.07950000     34.07823336    
0.05542    32.80910000     33.04927232    
0.05626    31.85770000     32.04848432    
0.05711    30.71710000     31.07987145    
0.05795    29.86650000     30.14371402    
0.05880    29.05250000     29.24125159    
0.05964    28.60330000     28.36646319    
0.06049    27.81670000     27.52293359    
0.06133    27.15230000     26.70100244    
0.06218    26.41830000     25.90448589    
0.06302    25.77240000     25.13252449    
0.06387    24.68690000     24.38897554    
0.06471    23.59550000     23.67297657    
0.06556    22.60730000     22.97584333    
0.06640    22.10650000     22.30066851    
0.06725    21.50950000     21.64710928    
0.06809    21.22660000     21.01452173    
0.06894    20.66880000     20.40752190    
0.06978    20.24160000     19.81965129    
0.07063    19.59570000     19.25103841    
0.07147    19.11780000     18.70101204    
0.07232    18.53120000     18.17203738    
0.07316    17.87450000     17.65761882    
0.07401    17.77350000     17.16020183    
0.07485    17.09470000     16.68235671    
0.07570    16.25850000     16.22019876    
0.07654    15.92600000     15.77533456    
0.07739    15.57530000     15.34214248    
0.07823    15.12960000     14.92247937    
0.07908    14.70440000     14.51586743    
0.07992    14.15530000     14.12517194    
0.08077    13.59210000     13.74512576    
0.08161    13.34030000     13.37601712    
0.08246    13.08080000     13.01728674    
0.08330    12.77770000     12.67057610    
0.08415    12.57450000     12.33117083    
0.08499    12.00080000     12.00086644    
0.08584    11.56600000     11.68079967    
0.08668    11.32230000     11.37057383    
0.08753    10.93590000     11.06604601    
0.08837    10.50930000     10.76886993    
0.08922    10.30930000     10.48042770    
0.09006    10.31630000     10.19704480    
0.09091    10.07770000     9.92099706     
0.09176    9.64430000      9.65184354     
0.09260    9.37233000      9.39033805     
0.09345    9.19191000      9.13323201     
0.09429    8.94917000      8.88194005     
0.09514    8.68666000      8.63787963     
0.09598    8.52133000      8.39815120     
0.09683    8.30284000      8.16512720     
0.09767    8.07323000      7.93757976     
0.09852    7.74033000      7.71681189     
0.09936    7.56681000      7.50008645     
0.10021    7.43425000      7.28859674     
0.10105    7.12136000      7.08374495     
0.10190    6.95655000      6.88371604     
0.10274    6.69974000      6.68923051     
0.10359    6.39772000      6.50097438     
0.10443    6.17390000      6.31665862     
0.10528    6.15542000      6.13732507     
0.10612    6.03121000      5.96388645     
0.10697    5.89434000      5.79450625     
0.10781    5.70718000      5.63064914     
0.10866    5.57945000      5.47233853     
0.10950    5.37607000      5.31755865     
0.11035    5.15902000      5.16717986     
0.11119    5.02824000      5.02196659     
0.11204    4.87283000      4.88002335     
0.11288    4.75548000      4.74282741     
0.11373    4.61142000      4.61055883     
0.11457    4.48906000      4.48123642     
0.11542    4.35671000      4.35557619     
0.11626    4.19435000      4.23421730     
0.11711    4.10485000      4.11542602     
0.11795    3.87454000      4.00030327     
0.11880    3.82544000      3.88958871     
0.11964    3.74667000      3.78124730     
0.12049    3.64578000      3.67592147     
0.12133    3.60614000      3.57415190     
0.12218    3.44032000      3.47454418     
0.12302    3.32035000      3.37829390     
0.12387    3.16457000      3.28457455     
0.12471    3.03034000      3.19350500     
0.12556    2.97029000      3.10551584     
0.12640    2.95530000      3.01939176     
0.12725    2.86252000      2.93616116     
0.12809    2.79378000      2.85471594     
0.12894    2.72549000      2.77576075     
0.12978    2.60496000      2.69978251     
0.13063    2.55621000      2.62544128     
0.13147    2.47912000      2.55365765     
0.13232    2.38003000      2.48346014     
0.13316    2.32679000      2.41528319     
0.13401    2.26504000      2.34949342     
0.13485    2.25168000      2.28551380     
0.13570    2.14753000      2.22389489     
0.13654    2.06133000      2.16368068     
0.13739    2.06923000      2.10524307     
0.13823    2.07618000      2.04891840     
0.13908    1.97939000      1.99393055     
0.13992    1.86373000      1.94113404     
0.14077    1.84072000      1.88979480     
0.14161    1.84799000      1.84036740     
0.14246    1.75885000      1.79215784     
0.14330    1.71652000      1.74547739     
0.14415    1.64169000      1.70060327     
0.14499    1.62007000      1.65692816     
0.14584    1.65309000      1.61531367     
0.14668    1.60738000      1.57484095     
0.14753    1.52614000      1.53606141     
0.14837    1.52692000      1.49841273     
0.14922    1.50607000      1.46242110     
0.15006    1.42401000      1.42756867     
0.15091    1.42791000      1.39453374     
0.15175    1.40741000      1.36274222     
0.15260    1.38874000      1.33236108     
0.15344    1.38119000      1.30357489     
0.15429    1.32808000      1.27593762     
0.15513    1.26149000      1.24988525     
0.15598    1.20649000      1.22502189     
0.15682    1.26527000      1.20199617     
0.15767    1.32991000      1.18009772     
0.15851    1.30221000      1.15972679     
0.15936    1.23870000      1.14048739     
0.16020    1.18035000      1.12272993     
0.16105    1.17117000      1.10608064     
0.16189    1.18513000      1.09102830     
0.16274    1.14209000      1.07709363     
0.16358    1.12703000      1.06449672     
0.16443    1.15837000      1.05285863     
0.16527    1.14015000      1.04245651     
0.16612    1.06031000      1.03293241     
0.16696    1.02256000      1.02456686     
0.16781    1.01227000      1.01709914     
0.16865    1.05963000      1.01061375     
0.16950    1.06839000      1.00473023     
0.17034    1.06138000      0.99967813     
0.17119    1.03169000      0.99510756     
0.17203    0.99889600      0.99122796     
0.17288    0.95378600      0.98776025     
0.17372    0.94184900      0.98482408     
0.17457    0.97760800      0.98218885     
0.17541    0.93646000      0.97965197     
0.17626    0.91121000      0.97741124     
0.17711    0.96033500      0.97516148     
0.17795    0.94265700      0.97307614     
0.17880    0.88542200      0.97085358     
0.17964    0.90134800      0.96866949     
0.18049    0.93592300      0.96625218     
0.18133    0.96225000      0.96378844     
0.18218    0.90318000      0.96110948     
0.18302    0.92883400      0.95810812     
0.18387    0.95782900      0.95492048     
0.18471    0.93601400      0.95134326     
0.18555    0.90212700      0.94760053     
0.18640    0.87825000      0.94346115     
0.18725    0.86063000      0.93916075     
0.18809    0.80980900      0.93457905     
0.18894    0.82939800      0.92961804     
0.18978    0.84772300      0.92446458     
0.19063    0.85594200      0.91900438     
0.19147    0.84688800      0.91343968     
0.19232    0.80307200      0.90758310     
0.19316    0.76626300      0.90169193     
0.19401    0.83389800      0.89564982     
0.19485    0.84133800      0.88939886     
0.19570    0.81587200      0.88318443     
0.19654    0.80218300      0.87683297     
0.19739    0.77372700      0.87056857     
0.19823    0.79242800      0.86431311     
0.19908    0.80512100      0.85800208     
0.19992    0.78515400      0.85184034     
0.20077    0.77699000      0.84567674     
0.20161    0.76833800      0.83970308     
0.20246    0.73859800      0.83384119     
0.20330    0.78289700      0.82800477     
0.20415    0.76849700      0.82237381     
0.20499    0.80127000      0.81688736     
0.20584    0.77636800      0.81145937     
0.20668    0.78259300      0.80626677     
0.20753    0.74109400      0.80119852     
0.20837    0.69326400      0.79617581     
0.20922    0.70999800      0.79136685     
0.21006    0.72910300      0.78656758     
0.21091    0.70751900      0.78198222     
0.21175    0.74578300      0.77749253     
0.21260    0.69420600      0.77299890     
0.21344    0.68965100      0.76865818     
0.21429    0.76470000      0.76438439     
0.21513    0.77795800      0.76008800     
0.21598    0.76135800      0.75590036     
0.21682    0.76534700      0.75175129     
0.21767    0.78523300      0.74755241     
0.21851    0.72214900      0.74343876     
0.21936    0.73053700      0.73933364     
0.22020    0.70190300      0.73516627     
0.22105    0.65378200      0.73107343     
0.22189    0.70569200      0.72699303     
0.22274    0.73648600      0.72283326     
0.22358    0.69539200      0.71874448     
0.22443    0.67564000      0.71466933     
0.22527    0.76505000      0.71060503     
0.22612    0.78412900      0.70647770     
0.22696    0.77141100      0.70244867     
0.22781    0.74357400      0.69844416     
0.22865    0.71894400      0.69440485     
0.22950    0.72851000      0.69047350     
0.23034    0.72287800      0.68658796     
0.23119    0.70493200      0.68268936     
0.23203    0.70873100      0.67891196     
0.23288    0.65276200      0.67521300     
0.23372    0.62845600      0.67158932     
0.23457    0.65925600      0.66797799     
0.23541    0.68369600      0.66450866     
0.23626    0.70631300      0.66112793     
0.23710    0.67728000      0.65777422     
0.23795    0.63747500      0.65457314     
0.23879    0.61611300      0.65146833     
0.23964    0.63214800      0.64845670     
0.24048    0.65513400      0.64548885     
0.24133    0.70905400      0.64266208     
0.24217    0.71226100      0.63991403     
0.24302    0.70161700      0.63724098     
0.24386    0.69641600      0.63461383     
0.24471    0.69323700      0.63210210     
0.24555    0.64465100      0.62965344     
0.24640    0.62050700      0.62726349     
0.24724    0.65526900      0.62487928     
0.24809    0.66386600      0.62258717     
0.24893    0.70716800      0.62033055     
0.24978    0.71829700      0.61811046     
0.25062    0.67192200      0.61590508     
0.25147    0.65022900      0.61367673     
