0 Ensemble_score =  1.803 z-score -2.626 Chi = 1.803 c1 = 1.045 c2 = 0.491
 488 Int300_9_B10970001_MSE.pdb.dat    (0.215) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.261) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.316) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.117) [ 0.989, 0.124, 0.054 ] 
1607 Basic350_6_B10130001_MSE.pdb.dat    (0.091) [ 0.002, 0.091, 1.000 ] 
1 Ensemble_score =  1.824 z-score -2.036 Chi = 1.824 c1 = 1.045 c2 = 0.491
 488 Int300_9_B10970001_MSE.pdb.dat    (0.204) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.264) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.318) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.125) [ 0.989, 0.124, 0.054 ] 
1619 Basic350_6_B10140001_MSE.pdb.dat    (0.090) [ 0.022, 0.074, 0.016 ] 
2 Ensemble_score =  1.837 z-score -1.672 Chi = 1.837 c1 = 1.044 c2 = 0.453
 488 Int300_9_B10970001_MSE.pdb.dat    (0.211) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.221) [ 0.989, 0.304, 0.028 ] 
 875 Int350_7_B10880001_MSE.pdb.dat    (0.377) [ 0.944, 0.298, 0.028 ] 
1403 Int300_8_B10790001_MSE.pdb.dat    (0.053) [ 0.989, 0.124, 0.054 ] 
1871 Basic320_1_B10210001_MSE.pdb.dat    (0.137) [ 0.022, 0.139, 0.002 ] 
3 Ensemble_score =  1.843 z-score -1.515 Chi = 1.843 c1 = 1.045 c2 = 0.503
 488 Int300_9_B10970001_MSE.pdb.dat    (0.273) [ 0.411, 0.239, 0.030 ] 
 769 Int325_5_B10890001_MSE.pdb.dat    (0.268) [ 0.989, 0.304, 0.028 ] 
