# SAXS profile: number of points = 271, q_min = 0.023207, q_max = 0.252063, delta_q = 0.000847614814814815
# offset = 0.00000000000000, scaling c = 7.64832850853372e-07, Chi = 1.42442797782116
#  q       exp_intensity   model_intensity
0.02321    40.61890000     38.89563412    
0.02405    40.26830000     38.51418321    
0.02490    39.68810000     38.12222836    
0.02575    38.83880000     37.72089319    
0.02660    38.50980000     37.31123281    
0.02745    38.63110000     36.89359126    
0.02829    37.84920000     36.46834022    
0.02914    37.43430000     36.03586659    
0.02999    36.54370000     35.59640402    
0.03084    34.73480000     35.14922431    
0.03168    34.73960000     34.69617700    
0.03253    34.35830000     34.23760802    
0.03338    34.87790000     33.77387309    
0.03423    33.77110000     33.30533772    
0.03507    33.62070000     32.83239881    
0.03592    33.12090000     32.35499615    
0.03677    32.91070000     31.87365730    
0.03762    32.41870000     31.38925974    
0.03846    31.64060000     30.90212190    
0.03931    31.12870000     30.41258838    
0.04016    30.36420000     29.92099928    
0.04101    29.46810000     29.42774560    
0.04185    28.87200000     28.93297053    
0.04270    28.06090000     28.43729882    
0.04355    28.10010000     27.94119273    
0.04440    28.03260000     27.44492930    
0.04525    27.49580000     26.94881885    
0.04609    26.65970000     26.45314924    
0.04694    25.65880000     25.95835973    
0.04779    25.46420000     25.46489178    
0.04864    25.36740000     24.97288987    
0.04948    25.20600000     24.48272465    
0.05033    24.05970000     23.99460983    
0.05118    22.88240000     23.50881148    
0.05203    22.49540000     23.02551837    
0.05287    22.72350000     22.54446666    
0.05372    21.93010000     22.06774017    
0.05457    21.60270000     21.59453998    
0.05542    21.53910000     21.12499754    
0.05626    20.93900000     20.65926881    
0.05711    20.63510000     20.19756635    
0.05796    20.02500000     19.74029605    
0.05881    19.02950000     19.28817524    
0.05965    18.57080000     18.84068237    
0.06050    18.34660000     18.39793198    
0.06135    18.38460000     17.96017387    
0.06220    17.57980000     17.52748982    
0.06304    17.05130000     17.10001300    
0.06389    17.03560000     16.67867744    
0.06474    16.62190000     16.26320769    
0.06559    16.37070000     15.85333266    
0.06644    15.81800000     15.44909202    
0.06728    15.02400000     15.05066713    
0.06813    14.77660000     14.65809173    
0.06898    14.13430000     14.27163330    
0.06983    13.94450000     13.89228566    
0.07067    13.74940000     13.51899455    
0.07152    12.99480000     13.15180192    
0.07237    12.76910000     12.79071491    
0.07322    12.47360000     12.43585051    
0.07406    12.07560000     12.08716899    
0.07491    11.62730000     11.74549187    
0.07576    11.44610000     11.41060808    
0.07661    11.29020000     11.08196715    
0.07745    10.86580000     10.75954753    
0.07830    10.55490000     10.44330219    
0.07915    10.09090000     10.13330544    
0.08000    9.73560000      9.82953117     
0.08084    9.53721000      9.53325582     
0.08169    9.34760000      9.24309593     
0.08254    9.06965000      8.95903027     
0.08339    8.70078000      8.68102658     
0.08424    8.41191000      8.40901537     
0.08508    8.11127000      8.14301954     
0.08593    7.87513000      7.88354677     
0.08678    7.55596000      7.63063782     
0.08763    7.20837000      7.38352780     
0.08847    7.03952000      7.14216949     
0.08932    6.83328000      6.90650943     
0.09017    6.45028000      6.67638518     
0.09102    6.41459000      6.45156512     
0.09186    6.16948000      6.23368762     
0.09271    5.87063000      6.02136170     
0.09356    5.67999000      5.81436676     
0.09441    5.53900000      5.61264054     
0.09525    5.37036000      5.41612310     
0.09610    5.18231000      5.22472360     
0.09695    5.01060000      5.03877709     
0.09780    4.84144000      4.85852757     
0.09864    4.60526000      4.68316639     
0.09949    4.39782000      4.51260462     
0.10034    4.26463000      4.34675287     
0.10119    4.10851000      4.18551376     
0.10204    3.92463000      4.02905322     
0.10288    3.82799000      3.87765891     
0.10373    3.70090000      3.73107179     
0.10458    3.53748000      3.58865341     
0.10543    3.41987000      3.45048172     
0.10627    3.31809000      3.31663830     
0.10712    3.22703000      3.18676173     
0.10797    3.10271000      3.06123962     
0.10882    2.96108000      2.94019000     
0.10966    2.82478000      2.82299299     
0.11051    2.72905000      2.70971285     
0.11136    2.61336000      2.60000326     
0.11221    2.47759000      2.49392665     
0.11305    2.37753000      2.39153821     
0.11390    2.29784000      2.29301173     
0.11475    2.25046000      2.19825302     
0.11560    2.17629000      2.10669654     
0.11645    2.03170000      2.01833490     
0.11729    1.93734000      1.93323863     
0.11814    1.88414000      1.85122533     
0.11899    1.81621000      1.77241509     
0.11983    1.74559000      1.69705712     
0.12068    1.64802000      1.62459687     
0.12153    1.57340000      1.55502843     
0.12238    1.47982000      1.48812245     
0.12323    1.41255000      1.42390298     
0.12407    1.34515000      1.36237067     
0.12492    1.31434000      1.30360300     
0.12577    1.26876000      1.24764846     
0.12662    1.18634000      1.19401667     
0.12746    1.14212000      1.14272039     
0.12831    1.10730000      1.09376104     
0.12916    1.06699000      1.04696525     
0.13001    1.02955000      1.00237675     
0.13085    0.97817200      0.96024917     
0.13170    0.93330100      0.92014896     
0.13255    0.88360500      0.88204851     
0.13340    0.85322100      0.84579654     
0.13425    0.81076000      0.81138004     
0.13509    0.78879800      0.77877988     
0.13594    0.74312700      0.74800942     
0.13679    0.71255300      0.71913761     
0.13764    0.69951600      0.69181627     
0.13848    0.68426200      0.66600618     
0.13933    0.63842600      0.64170498     
0.14018    0.62575600      0.61883082     
0.14103    0.59598500      0.59735839     
0.14187    0.56978400      0.57741387     
0.14272    0.57064300      0.55876582     
0.14357    0.57177300      0.54133610     
0.14442    0.54903600      0.52504008     
0.14526    0.51772700      0.50987174     
0.14611    0.49989700      0.49574708     
0.14696    0.47588400      0.48269137     
0.14781    0.47650400      0.47075427     
0.14865    0.45685000      0.45970058     
0.14950    0.44855500      0.44950758     
0.15035    0.43188700      0.44014461     
0.15120    0.42200600      0.43154971     
0.15204    0.41806200      0.42370662     
0.15289    0.41004700      0.41664703     
0.15374    0.40885400      0.41026858     
0.15459    0.40585100      0.40450254     
0.15543    0.39901600      0.39929731     
0.15628    0.38320200      0.39462599     
0.15713    0.38525900      0.39044336     
0.15798    0.39196000      0.38675126     
0.15882    0.38029100      0.38357812     
0.15967    0.37951600      0.38078863     
0.16052    0.36869900      0.37836675     
0.16137    0.35269800      0.37628232     
0.16222    0.34319800      0.37449894     
0.16306    0.36307800      0.37299945     
0.16391    0.37371200      0.37178947     
0.16476    0.38038000      0.37082075     
0.16561    0.36333600      0.37005554     
0.16645    0.35275400      0.36946607     
0.16730    0.36651300      0.36903201     
0.16815    0.35578600      0.36873735     
0.16900    0.35046500      0.36857373     
0.16984    0.36025800      0.36852600     
0.17069    0.36083200      0.36855710     
0.17154    0.36466700      0.36865609     
0.17239    0.36216200      0.36880707     
0.17324    0.36590500      0.36899211     
0.17408    0.36670200      0.36919580     
0.17493    0.37862700      0.36943179     
0.17578    0.36863300      0.36966148     
0.17663    0.34990600      0.36988669     
0.17747    0.34547600      0.37009389     
0.17832    0.36126200      0.37027612     
0.17917    0.35301400      0.37043006     
0.18002    0.34762100      0.37054318     
0.18086    0.35224500      0.37061356     
0.18171    0.35761100      0.37061589     
0.18256    0.36381500      0.37056584     
0.18341    0.36369100      0.37045976     
0.18425    0.35870500      0.37029179     
0.18510    0.35988500      0.37006073     
0.18595    0.35483900      0.36975547     
0.18680    0.35346500      0.36937401     
0.18764    0.34774500      0.36892048     
0.18849    0.33959500      0.36839070     
0.18934    0.35713400      0.36778918     
0.19019    0.35402400      0.36712318     
0.19104    0.35109100      0.36640290     
0.19188    0.36141700      0.36558488     
0.19273    0.34778800      0.36470774     
0.19358    0.36041200      0.36375790     
0.19442    0.35341700      0.36274355     
0.19527    0.36853500      0.36166729     
0.19612    0.36334900      0.36053021     
0.19697    0.35695100      0.35933170     
0.19782    0.35618300      0.35806058     
0.19866    0.35857400      0.35674288     
0.19951    0.34649200      0.35536832     
0.20036    0.34969800      0.35394390     
0.20121    0.36289100      0.35247191     
0.20205    0.34259800      0.35095204     
0.20290    0.32027200      0.34937258     
0.20375    0.32349900      0.34775948     
0.20460    0.33747400      0.34611168     
0.20544    0.34029800      0.34442710     
0.20629    0.33475000      0.34270611     
0.20714    0.33501500      0.34095933     
0.20799    0.33856700      0.33917412     
0.20883    0.33548600      0.33737096     
0.20968    0.33216900      0.33553288     
0.21053    0.31507800      0.33367071     
0.21138    0.31686200      0.33179055     
0.21222    0.32175600      0.32988654     
0.21307    0.32789900      0.32796376     
0.21392    0.32868500      0.32602537     
0.21477    0.33199700      0.32407351     
0.21562    0.32755000      0.32209372     
0.21646    0.33192600      0.32010190     
0.21731    0.32140200      0.31810699     
0.21816    0.31208400      0.31610392     
0.21901    0.30616500      0.31408363     
0.21985    0.31009800      0.31205507     
0.22070    0.31112800      0.31002447     
0.22155    0.30730100      0.30798548     
0.22240    0.29647100      0.30593999     
0.22324    0.30397500      0.30388312     
0.22409    0.29734200      0.30182177     
0.22494    0.31061200      0.29976544     
0.22579    0.30903600      0.29769326     
0.22663    0.30643400      0.29562558     
0.22748    0.29867700      0.29354465     
0.22833    0.28064800      0.29145751     
0.22918    0.28911800      0.28937817     
0.23003    0.30064500      0.28729994     
0.23087    0.29751400      0.28521680     
0.23172    0.28748600      0.28313418     
0.23257    0.29295300      0.28104942     
0.23342    0.28539200      0.27896816     
0.23426    0.30106300      0.27688342     
0.23511    0.30591400      0.27479573     
0.23596    0.31095800      0.27271713     
0.23681    0.27533600      0.27063599     
0.23765    0.28196000      0.26856150     
0.23850    0.28369700      0.26648449     
0.23935    0.27702900      0.26440487     
0.24020    0.27367700      0.26233029     
0.24104    0.28507800      0.26027013     
0.24189    0.28853600      0.25821480     
0.24274    0.26875900      0.25616512     
0.24359    0.27689100      0.25412116     
0.24443    0.29464400      0.25208557     
0.24528    0.29664200      0.25005438     
0.24613    0.27958000      0.24803376     
0.24698    0.27458500      0.24602545     
0.24782    0.27043500      0.24402690     
0.24867    0.26209300      0.24203996     
