# SAXS profile: number of points = 271, q_min = 0.023207, q_max = 0.252063, delta_q = 0.000847614814814815
# offset = 0.00000000000000, scaling c = 8.08711212371165e-07, Chi = 1.39831656230098
#  q       exp_intensity   model_intensity
0.02321    40.61890000     39.63448619    
0.02405    40.26830000     39.22522849    
0.02490    39.68810000     38.80527626    
0.02575    38.83880000     38.37585194    
0.02660    38.50980000     37.93807894    
0.02745    38.63110000     37.49235802    
0.02829    37.84920000     37.03911711    
0.02914    37.43430000     36.57879865    
0.02999    36.54370000     36.11169466    
0.03084    34.73480000     35.63718912    
0.03168    34.73960000     35.15714770    
0.03253    34.35830000     34.67196188    
0.03338    34.87790000     34.18203188    
0.03423    33.77110000     33.68776486    
0.03507    33.62070000     33.18959823    
0.03592    33.12090000     32.68758069    
0.03677    32.91070000     32.18228459    
0.03762    32.41870000     31.67456509    
0.03846    31.64060000     31.16476738    
0.03931    31.12870000     30.65326355    
0.04016    30.36420000     30.14041872    
0.04101    29.46810000     29.62664612    
0.04185    28.87200000     29.11226906    
0.04270    28.06090000     28.59778580    
0.04355    28.10010000     28.08366286    
0.04440    28.03260000     27.57018510    
0.04525    27.49580000     27.05767180    
0.04609    26.65970000     26.54641615    
0.04694    25.65880000     26.03692755    
0.04779    25.46420000     25.52968684    
0.04864    25.36740000     25.02472353    
0.04948    25.20600000     24.52240481    
0.05033    24.05970000     24.02293396    
0.05118    22.88240000     23.52656678    
0.05203    22.49540000     23.03351785    
0.05287    22.72350000     22.54477728    
0.05372    21.93010000     22.06007321    
0.05457    21.60270000     21.57942405    
0.05542    21.53910000     21.10312966    
0.05626    20.93900000     20.63132399    
0.05711    20.63510000     20.16419483    
0.05796    20.02500000     19.70216037    
0.05881    19.02950000     19.24596431    
0.05965    18.57080000     18.79495707    
0.06050    18.34660000     18.34922631    
0.06135    18.38460000     17.90899585    
0.06220    17.57980000     17.47431869    
0.06304    17.05130000     17.04529722    
0.06389    17.03560000     16.62289712    
0.06474    16.62190000     16.20676770    
0.06559    16.37070000     15.79658162    
0.06644    15.81800000     15.39234982    
0.06728    15.02400000     14.99422606    
0.06813    14.77660000     14.60221722    
0.06898    14.13430000     14.21656962    
0.06983    13.94450000     13.83827520    
0.07067    13.74940000     13.46620684    
0.07152    12.99480000     13.10038565    
0.07237    12.76910000     12.74079479    
0.07322    12.47360000     12.38752688    
0.07406    12.07560000     12.04052135    
0.07491    11.62730000     11.70058492    
0.07576    11.44610000     11.36747606    
0.07661    11.29020000     11.04062346    
0.07745    10.86580000     10.71998831    
0.07830    10.55490000     10.40550859    
0.07915    10.09090000     10.09724539    
0.08000    9.73560000      9.79516143     
0.08084    9.53721000      9.50050295     
0.08169    9.34760000      9.21188913     
0.08254    9.06965000      8.92929176     
0.08339    8.70078000      8.65267186     
0.08424    8.41191000      8.38195349     
0.08508    8.11127000      8.11715354     
0.08593    7.87513000      7.85876862     
0.08678    7.55596000      7.60683473     
0.08763    7.20837000      7.36059813     
0.08847    7.03952000      7.12001175     
0.08932    6.83328000      6.88502421     
0.09017    6.45028000      6.65554968     
0.09102    6.41459000      6.43157395     
0.09186    6.16948000      6.21405677     
0.09271    5.87063000      6.00200785     
0.09356    5.67999000      5.79521223     
0.09441    5.53900000      5.59361428     
0.09525    5.37036000      5.39716094     
0.09610    5.18231000      5.20576798     
0.09695    5.01060000      5.01977627     
0.09780    4.84144000      4.83943464     
0.09864    4.60526000      4.66395091     
0.09949    4.39782000      4.49324435     
0.10034    4.26463000      4.32723345     
0.10119    4.10851000      4.16582879     
0.10204    3.92463000      4.00920464     
0.10288    3.82799000      3.85765634     
0.10373    3.70090000      3.71093701     
0.10458    3.53748000      3.56841477     
0.10543    3.41987000      3.43017245     
0.10627    3.31809000      3.29629778     
0.10712    3.22703000      3.16643682     
0.10797    3.10271000      3.04098435     
0.10882    2.96108000      2.92007348     
0.10966    2.82478000      2.80307841     
0.11051    2.72905000      2.69006670     
0.11136    2.61336000      2.58069577     
0.11221    2.47759000      2.47503060     
0.11305    2.37753000      2.37312822     
0.11390    2.29784000      2.27517456     
0.11475    2.25046000      2.18107290     
0.11560    2.17629000      2.09025026     
0.11645    2.03170000      2.00276202     
0.11729    1.93734000      1.91862695     
0.11814    1.88414000      1.83756600     
0.11899    1.81621000      1.75977894     
0.11983    1.74559000      1.68552543     
0.12068    1.64802000      1.61423393     
0.12153    1.57340000      1.54589081     
0.12238    1.47982000      1.48026529     
0.12323    1.41255000      1.41737584     
0.12407    1.34515000      1.35721623     
0.12492    1.31434000      1.29986548     
0.12577    1.26876000      1.24535782     
0.12662    1.18634000      1.19319808     
0.12746    1.14212000      1.14339052     
0.12831    1.10730000      1.09592831     
0.12916    1.06699000      1.05063512     
0.13001    1.02955000      1.00754319     
0.13085    0.97817200      0.96690110     
0.13170    0.93330100      0.92826541     
0.13255    0.88360500      0.89160029     
0.13340    0.85322100      0.85675262     
0.13425    0.81076000      0.82370131     
0.13509    0.78879800      0.79241794     
0.13594    0.74312700      0.76290871     
0.13679    0.71255300      0.73523004     
0.13764    0.69951600      0.70903717     
0.13848    0.68426200      0.68430790     
0.13933    0.63842600      0.66101205     
0.14018    0.62575600      0.63903899     
0.14103    0.59598500      0.61838347     
0.14187    0.56978400      0.59915327     
0.14272    0.57064300      0.58112541     
0.14357    0.57177300      0.56422209     
0.14442    0.54903600      0.54835734     
0.14526    0.51772700      0.53352299     
0.14611    0.49989700      0.51963591     
