# SAXS profile: number of points = 269, q_min = 0.0181213, q_max = 0.245282, delta_q = 0.000847614552238806
# offset = 0.00000000000000, scaling c = 2.38265707811248e-06, Chi = 1.91640953532982
#  q       exp_intensity   model_intensity
0.01812    59.43530000     58.08544950    
0.01897    59.64200000     57.71043753    
0.01982    58.79920000     57.31873718    
0.02066    59.12030000     56.91317442    
0.02151    58.45330000     56.49399707    
0.02236    57.68400000     56.06151456    
0.02321    56.94270000     55.61604681    
0.02405    56.73480000     55.15815960    
0.02490    55.96460000     54.69021927    
0.02575    55.63160000     54.20566334    
0.02660    54.67490000     53.70910634    
0.02745    53.16730000     53.20136514    
0.02829    52.41090000     52.68279446    
0.02914    52.98020000     52.15377021    
0.02999    52.66080000     51.61444453    
0.03084    51.97950000     51.06347543    
0.03168    50.89590000     50.50337987    
0.03253    50.53980000     49.93449951    
0.03338    50.40830000     49.35718248    
0.03423    49.76330000     48.77179436    
0.03507    49.13150000     48.17875037    
0.03592    47.85740000     47.57762716    
0.03677    46.96310000     46.96899382    
0.03762    47.20390000     46.35411518    
0.03846    46.59450000     45.73332821    
0.03931    45.86780000     45.10700151    
0.04016    44.73330000     44.47550196    
0.04101    44.11860000     43.83927539    
0.04185    43.37160000     43.19787432    
0.04270    43.27320000     42.55257042    
0.04355    42.16900000     41.90608758    
0.04440    41.60850000     41.25618878    
0.04525    41.00510000     40.60187085    
0.04609    39.94870000     39.94526110    
0.04694    38.90540000     39.28666730    
0.04779    37.99300000     38.62649879    
0.04864    37.80080000     37.96532054    
0.04948    37.49730000     37.30362080    
0.05033    36.32250000     36.64167988    
0.05118    35.72260000     35.97985481    
0.05203    35.09450000     35.31846010    
0.05287    34.52470000     34.65813583    
0.05372    33.78030000     33.99915072    
0.05457    33.17480000     33.34173747    
0.05542    32.40230000     32.68763345    
0.05626    31.85900000     32.03630371    
0.05711    31.65370000     31.38575942    
0.05796    30.70820000     30.73826760    
0.05881    29.69480000     30.09459339    
0.05965    28.99790000     29.45454422    
0.06050    28.59730000     28.81833256    
0.06135    27.74630000     28.18637876    
0.06220    27.34430000     27.55886726    
0.06304    26.55490000     26.93605263    
0.06389    25.98130000     26.31894206    
0.06474    25.40530000     25.70749654    
0.06559    24.71780000     25.10158329    
0.06644    24.06240000     24.50234948    
0.06728    23.45010000     23.90942110    
0.06813    22.59260000     23.32131161    
0.06898    22.02740000     22.73978005    
0.06983    21.71010000     22.16606529    
0.07067    21.29340000     21.59915922    
0.07152    20.45530000     21.03922256    
