# SAXS profile: number of points = 269, q_min = 0.0181213, q_max = 0.245282, delta_q = 0.000847614552238806
# offset = 0.00000000000000, scaling c = 2.28584197232840e-06, Chi = 1.64651790291391
#  q       exp_intensity   model_intensity
0.01812    59.43530000     57.57521251    
0.01897    59.64200000     57.20483101    
0.01982    58.79920000     56.81796830    
0.02066    59.12030000     56.41742060    
0.02151    58.45330000     56.00342561    
0.02236    57.68400000     55.57629083    
0.02321    56.94270000     55.13633626    
0.02405    56.73480000     54.68384677    
0.02490    55.96460000     54.21746074    
0.02575    55.63160000     53.73846126    
0.02660    54.67490000     53.24810237    
0.02745    53.16730000     52.74669872    
0.02829    52.41090000     52.23597208    
0.02914    52.98020000     51.71685798    
0.02999    52.66080000     51.18423005    
0.03084    51.97950000     50.64010089    
0.03168    50.89590000     50.08696051    
0.03253    50.53980000     49.52514461    
0.03338    50.40830000     48.95499716    
0.03423    49.76330000     48.37687938    
0.03507    49.13150000     47.79120009    
0.03592    47.85740000     47.19753865    
0.03677    46.96310000     46.59646201    
0.03762    47.20390000     45.98921587    
0.03846    46.59450000     45.37612992    
0.03931    45.86780000     44.75756929    
0.04016    44.73330000     44.13389757    
0.04101    44.11860000     43.50554934    
0.04185    43.37160000     42.87208417    
0.04270    43.27320000     42.23475656    
0.04355    42.16900000     41.59414204    
0.04440    41.60850000     40.95055317    
0.04525    41.00510000     40.30435221    
0.04609    39.94870000     39.65588140    
0.04694    38.90540000     39.00542991    
0.04779    37.99300000     38.35341028    
0.04864    37.80080000     37.70038099    
0.04948    37.49730000     37.04844304    
0.05033    36.32250000     36.39633894    
0.05118    35.72260000     35.74255641    
0.05203    35.09450000     35.08917386    
0.05287    34.52470000     34.43682420    
0.05372    33.78030000     33.78577580    
0.05457    33.17480000     33.13625029    
0.05542    32.40230000     32.48870555    
0.05626    31.85900000     31.84338620    
0.05711    31.65370000     31.20061774    
0.05796    30.70820000     30.56082486    
0.05881    29.69480000     29.92476157    
0.05965    28.99790000     29.29224207    
0.06050    28.59730000     28.66347511    
0.06135    27.74630000     28.03887403    
0.06220    27.34430000     27.41861832    
0.06304    26.55490000     26.80295669    
0.06389    25.98130000     26.19287820    
0.06474    25.40530000     25.59010097    
0.06559    24.71780000     24.99156272    
0.06644    24.06240000     24.39794137    
0.06728    23.45010000     23.81021833    
0.06813    22.59260000     23.22853090    
0.06898    22.02740000     22.65328721    
0.06983    21.71010000     22.08570120    
0.07067    21.29340000     21.52477989    
0.07152    20.45530000     20.97068449    
0.07237    20.05040000     20.42352248    
0.07322    19.49020000     19.88356919    
0.07406    19.05840000     19.35086482    
0.07491    18.63310000     18.82651398    
0.07576    18.20360000     18.31041775    
0.07661    17.52230000     17.80304036    
0.07745    17.08650000     17.30305559    
0.07830    16.55430000     16.81019517    
0.07915    16.00440000     16.32535693    
0.08000    15.61710000     15.84860068    
0.08084    15.25660000     15.38172953    
0.08169    14.83520000     14.92303536    
0.08254    14.44970000     14.47258368    
0.08339    13.93610000     14.03042264    
0.08424    13.40330000     13.59653927    
0.08508    12.85440000     13.17106548    
0.08593    12.49890000     12.75480715    
0.08678    12.25450000     12.34885417    
0.08763    11.76420000     11.95060999    
0.08847    11.32370000     11.56049130    
0.08932    11.05820000     11.17876648    
0.09017    10.57000000     10.80537606    
0.09102    10.25720000     10.44037384    
0.09186    9.95813000      10.08531034    
0.09271    9.61457000      9.73873477     
0.09356    9.20214000      9.40037856     
0.09441    8.93323000      9.07020279     
0.09525    8.67217000      8.74838285     
0.09610    8.34770000      8.43502674     
0.09695    8.08248000      8.12966461     
0.09780    7.80425000      7.83339836     
0.09864    7.57919000      7.54499475     
0.09949    7.28606000      7.26435411     
0.10034    6.97089000      6.99137026     
0.10119    6.66686000      6.72592020     
0.10204    6.40587000      6.46831293     
0.10288    6.17719000      6.21906300     
0.10373    5.94862000      5.97821591     
0.10458    5.72805000      5.74401703     
0.10543    5.52340000      5.51674190     
0.10627    5.28342000      5.29670969     
0.10712    5.05408000      5.08333717     
0.10797    4.85890000      4.87729130     
0.10882    4.68104000      4.67880200     
0.10966    4.49928000      4.48682375     
0.11051    4.38316000      4.30147225     
0.11136    4.21009000      4.12233172     
0.11221    4.03774000      3.94946693     
0.11305    3.88373000      3.78257562     
0.11390    3.65178000      3.62224874     
0.11475    3.45242000      3.46831368     
0.11560    3.35969000      3.31982073     
0.11645    3.28767000      3.17685343     
0.11729    3.16065000      3.03943594     
0.11814    2.94780000      2.90714737     
0.11899    2.77552000      2.78047239     
0.11983    2.77309000      2.65937431     
0.12068    2.64565000      2.54314509     
0.12153    2.49874000      2.43176708     
0.12238    2.35238000      2.32485706     
0.12323    2.26841000      2.22243773     
0.12407    2.14380000      2.12449522     
0.12492    2.07111000      2.03115198     
0.12577    2.01061000      1.94261852     
0.12662    1.92435000      1.85780513     
0.12746    1.81799000      1.77677919     
0.12831    1.73100000      1.69957737     
0.12916    1.65977000      1.62591264     
0.13001    1.61654000      1.55583586     
0.13085    1.56310000      1.48974671     
0.13170    1.50464000      1.42692367     
0.13255    1.39686000      1.36738962     
0.13340    1.34450000      1.31079526     
0.13425    1.30813000      1.25705478     
0.13509    1.25451000      1.20619589     
0.13594    1.20397000      1.15822682     
0.13679    1.14046000      1.11324228     
0.13764    1.09680000      1.07068324     
0.13848    1.03938000      1.03057007     
0.13933    1.00530000      0.99280433     
0.14018    0.97037900      0.95714621     
0.14103    0.95025300      0.92364999     
0.14187    0.92773100      0.89249964     
0.14272    0.86946800      0.86333050     
0.14357    0.84436900      0.83602131     
0.14442    0.81352800      0.81046896     
0.14526    0.77663400      0.78663927     
0.14611    0.75355700      0.76433653     
0.14696    0.73072300      0.74364661     
0.14781    0.69061300      0.72463925     
0.14865    0.67582100      0.70695700     
0.14950    0.67310300      0.69060044     
0.15035    0.65512300      0.67548743     
0.15120    0.63867500      0.66148691     
0.15204    0.63230400      0.64861303     
0.15289    0.62695700      0.63691026     
0.15374    0.60834700      0.62622692     
0.15459    0.59531000      0.61646363     
0.15543    0.59886700      0.60756762     
0.15628    0.58945200      0.59949530     
0.15713    0.55618400      0.59214259     
0.15798    0.56819100      0.58550521     
0.15882    0.57758300      0.57965972     
0.15967    0.56503900      0.57440390     
0.16052    0.56652900      0.56974243     
0.16137    0.56535100      0.56560409     
0.16222    0.54418900      0.56191269     
0.16306    0.54259900      0.55867396     
0.16391    0.54080300      0.55590016     
0.16476    0.53572200      0.55352174     
0.16561    0.54282700      0.55151392     
0.16645    0.55959100      0.54979330     
0.16730    0.55487700      0.54832598     
0.16815    0.54060700      0.54710981     
0.16900    0.52346400      0.54613243     
0.16984    0.51567000      0.54538441     
0.17069    0.51819400      0.54482960     
0.17154    0.53446700      0.54440747     
0.17239    0.52531900      0.54410016     
0.17324    0.52368700      0.54390137     
0.17408    0.52217500      0.54379798     
0.17493    0.54645700      0.54377407     
0.17578    0.52556400      0.54383102     
0.17663    0.52879000      0.54390855     
0.17747    0.54057700      0.54399968     
0.17832    0.54071400      0.54410294     
0.17917    0.54015100      0.54421217     
0.18002    0.52231400      0.54430995     
0.18086    0.52146000      0.54443536     
0.18171    0.54429100      0.54447354     
0.18256    0.55349500      0.54447009     
0.18341    0.53462800      0.54442378     
0.18425    0.53062200      0.54433532     
0.18510    0.53563800      0.54421072     
0.18595    0.54309900      0.54398043     
0.18680    0.55258500      0.54367458     
0.18764    0.54108400      0.54328889     
0.18849    0.53333100      0.54283261     
0.18934    0.53807000      0.54230840     
0.19019    0.54637300      0.54170813     
0.19104    0.53200400      0.54102118     
0.19188    0.52252600      0.54020751     
0.19273    0.53872500      0.53932048     
0.19358    0.54637500      0.53836111     
0.19442    0.54944800      0.53730846     
0.19527    0.55096900      0.53615419     
0.19612    0.54227100      0.53491404     
0.19697    0.53415000      0.53358537     
0.19782    0.53042400      0.53218599     
0.19866    0.53472400      0.53068768     
0.19951    0.53751400      0.52909457     
0.20036    0.51779200      0.52742348     
0.20121    0.51694000      0.52568583     
0.20205    0.51991100      0.52389488     
0.20290    0.51827400      0.52199670     
0.20375    0.51946400      0.52001770     
0.20460    0.51934600      0.51797542     
0.20544    0.53193800      0.51588504     
0.20629    0.53057300      0.51373447     
0.20714    0.52867100      0.51151260     
0.20799    0.51011500      0.50922176     
0.20883    0.49721600      0.50689295     
0.20968    0.49521700      0.50452608     
0.21053    0.49055100      0.50209937     
0.21138    0.49553600      0.49962347     
0.21222    0.50497200      0.49710295     
0.21307    0.49702600      0.49454816     
0.21392    0.48654800      0.49198952     
0.21477    0.49267600      0.48937671     
0.21562    0.49370900      0.48672725     
0.21646    0.49303900      0.48404911     
0.21731    0.49381500      0.48136411     
0.21816    0.49725100      0.47867740     
0.21901    0.49641800      0.47593910     
0.21985    0.50357100      0.47318898     
0.22070    0.48971900      0.47043603     
0.22155    0.47011800      0.46769281     
0.22240    0.44893500      0.46493958     
0.22324    0.46247000      0.46215809     
0.22409    0.46876100      0.45937570     
0.22494    0.45533600      0.45661013     
0.22579    0.46046300      0.45385393     
0.22663    0.46644000      0.45109545     
0.22748    0.46355700      0.44833272     
0.22833    0.45925300      0.44558328     
0.22918    0.44697000      0.44285507     
0.23003    0.44945600      0.44011850     
0.23087    0.44675400      0.43739001     
0.23172    0.43258100      0.43467816     
0.23257    0.43399900      0.43199398     
0.23342    0.44668400      0.42932405     
0.23426    0.44456800      0.42664990     
0.23511    0.42694900      0.42398451     
0.23596    0.42329900      0.42135072     
0.23681    0.40442600      0.41875055     
0.23765    0.40048100      0.41615536     
0.23850    0.40742900      0.41356353     
0.23935    0.42172700      0.41099628     
0.24020    0.41285400      0.40846236     
0.24104    0.43249300      0.40593141     
0.24189    0.42273600      0.40341583     
0.24274    0.40505500      0.40091794     
0.24359    0.39815200      0.39845136     
0.24443    0.39326200      0.39599751     
0.24528    0.38635000      0.39354453     
