# SAXS profile: number of points = 474, q_min = 0.012467, q_max = 0.300081, delta_q = 0.000608063424947146
# offset = 0.00000000000000, scaling c = 5.86875858766530e-08, Chi = 4.60794401371327
#  q       exp_intensity   model_intensity
0.01247    8.44434000      8.64736548     
0.01307    8.26720000      8.54439217     
0.01368    8.17586000      8.43636357     
0.01429    8.22101000      8.32581500     
0.01490    8.04176000      8.21252129     
0.01551    7.98119000      8.09526333     
0.01612    7.81538000      7.97641718     
0.01672    7.66844000      7.85394701     
0.01733    7.49123000      7.72966361     
0.01794    7.48327000      7.60370562     
0.01855    7.27339000      7.47491402     
0.01916    7.21357000      7.34514431     
0.01976    6.94220000      7.21343953     
0.02037    6.94325000      7.08047655     
0.02098    6.84123000      6.94671534     
0.02159    6.69870000      6.81125487     
0.02220    6.51895000      6.67576227     
0.02280    6.33504000      6.53984323     
0.02341    6.18917000      6.40334103     
0.02402    6.01509000      6.26656420     
0.02463    5.97253000      6.12980748     
0.02524    5.81170000      5.99324471     
0.02584    5.64450000      5.85698554     
0.02645    5.51858000      5.72122115     
0.02706    5.42909000      5.58606680     
0.02767    5.23646000      5.45216376     
0.02828    5.11194000      5.31908932     
0.02889    5.02042000      5.18699849     
0.02949    4.84723000      5.05668729     
0.03010    4.71308000      4.92721450     
0.03071    4.60956000      4.79986361     
0.03132    4.47874000      4.67380922     
0.03193    4.32562000      4.54932865     
0.03254    4.27348000      4.42763713     
0.03314    4.11960000      4.30713131     
0.03375    4.02607000      4.18924356     
0.03436    3.95739000      4.07351582     
0.03497    3.88156000      3.95928627     
0.03558    3.72760000      3.84869679     
0.03618    3.62916000      3.73935026     
0.03679    3.51291000      3.63298643     
0.03740    3.40870000      3.52934865     
0.03801    3.32005000      3.42718430     
0.03862    3.27656000      3.32921096     
0.03922    3.16762000      3.23288992     
0.03983    3.13222000      3.13940145     
0.04044    3.06470000      3.04893105     
0.04105    2.94011000      2.95981757     
0.04166    2.92306000      2.87486057     
0.04226    2.79524000      2.79179743     
0.04287    2.75293000      2.71118565     
0.04348    2.66307000      2.63397753     
0.04409    2.61600000      2.55828875     
0.04470    2.54578000      2.48621935     
0.04530    2.48894000      2.41623051     
0.04591    2.41684000      2.34819690     
0.04652    2.32851000      2.28374775     
0.04713    2.27248000      2.22070843     
0.04774    2.22129000      2.16074929     
0.04835    2.18508000      2.10294160     
0.04895    2.11454000      2.04676306     
0.04956    2.08286000      1.99393386     
0.05017    2.02037000      1.94237676     
0.05078    1.96898000      1.89331033     
0.05139    1.91190000      1.84634368     
0.05199    1.89421000      1.80053015     
0.05260    1.84613000      1.75779914     
0.05321    1.82666000      1.71610645     
0.05382    1.79180000      1.67631930     
0.05443    1.75671000      1.63844990     
0.05504    1.70820000      1.60153953     
0.05564    1.67827000      1.56696430     
0.05625    1.65403000      1.53342046     
0.05686    1.61831000      1.50125348     
0.05747    1.57537000      1.47074782     
0.05808    1.52694000      1.44098620     
0.05868    1.49155000      1.41295402     
0.05929    1.47658000      1.38582166     
0.05990    1.44193000      1.35966310     
0.06051    1.41528000      1.33479391     
0.06112    1.39365000      1.31041821     
0.06173    1.34183000      1.28725873     
0.06233    1.32701000      1.26481038     
0.06294    1.28970000      1.24294933     
0.06355    1.27610000      1.22212266     
0.06416    1.23517000      1.20166802     
0.06477    1.20923000      1.18196278     
0.06537    1.17869000      1.16279634     
0.06598    1.15385000      1.14393841     
0.06659    1.13764000      1.12584765     
0.06720    1.11205000      1.10799116     
0.06781    1.09419000      1.09057327     
0.06841    1.07734000      1.07357388     
0.06902    1.06333000      1.05678513     
0.06963    1.03308000      1.04038350     
0.07024    1.01796000      1.02413363     
0.07085    0.99473900      1.00809338     
0.07146    0.98047400      0.99232019     
0.07206    0.95925700      0.97665562     
0.07267    0.93933200      0.96123044     
0.07328    0.92695500      0.94590501     
0.07389    0.90398700      0.93069720     
0.07450    0.87595000      0.91563601     
0.07510    0.86496500      0.90064272     
0.07571    0.85247300      0.88581819     
0.07632    0.83821100      0.87100961     
0.07693    0.82145400      0.85626172     
0.07754    0.80625000      0.84161391     
0.07814    0.79050500      0.82700486     
0.07875    0.77935700      0.81247739     
0.07936    0.76007800      0.79801256     
0.07997    0.74560700      0.78359088     
0.08058    0.72764400      0.76927224     
0.08118    0.70994200      0.75500757     
0.08179    0.70311000      0.74083080     
0.08240    0.68088000      0.72673086     
0.08301    0.67406600      0.71266067     
0.08362    0.66320600      0.69873003     
0.08422    0.64970800      0.68485811     
0.08483    0.64026400      0.67108613     
0.08544    0.62147400      0.65744253     
0.08605    0.60954000      0.64386338     
0.08666    0.59472300      0.63044291     
0.08727    0.58267200      0.61715551     
0.08787    0.57606300      0.60401088     
0.08848    0.56669300      0.59102441     
0.08909    0.55398000      0.57811755     
0.08970    0.54395400      0.56543089     
0.09031    0.53264200      0.55288358     
0.09091    0.52379300      0.54047379     
0.09152    0.51216000      0.52831762     
0.09213    0.50548200      0.51625091     
0.09274    0.49343900      0.50445032     
0.09335    0.48746400      0.49285350     
0.09395    0.47545400      0.48140995     
0.09456    0.46574900      0.47025386     
0.09517    0.45794000      0.45922011     
0.09578    0.44863900      0.44844030     
0.09639    0.43957500      0.43789131     
0.09699    0.43391900      0.42747414     
0.09760    0.42342400      0.41740669     
0.09821    0.41425700      0.40749826     
0.09882    0.40787500      0.39785035     
0.09943    0.40083500      0.38844824     
0.10004    0.39019300      0.37917182     
0.10064    0.38286100      0.37025019     
0.10125    0.37667300      0.36148432     
0.10186    0.36956300      0.35293848     
0.10247    0.36219200      0.34467793     
0.10308    0.35881400      0.33655105     
0.10368    0.34816200      0.32874968     
0.10429    0.34265100      0.32112398     
0.10490    0.33377400      0.31367337     
0.10551    0.32539400      0.30651295     
0.10612    0.31775100      0.29947442     
0.10673    0.30994300      0.29271054     
0.10733    0.30656400      0.28612534     
0.10794    0.30173800      0.27968771     
0.10855    0.29235700      0.27354940     
0.10916    0.28617100      0.26750655     
0.10977    0.27970700      0.26168261     
0.11037    0.27499700      0.25603484     
0.11098    0.27093800      0.25049730     
0.11159    0.26568800      0.24522224     
0.11220    0.25690800      0.24003864     
0.11281    0.25018700      0.23502785     
0.11341    0.24059200      0.23019166     
0.11402    0.23561700      0.22544487     
0.11463    0.23216800      0.22090030     
0.11524    0.22871600      0.21643098     
0.11585    0.22671600      0.21209683     
0.11646    0.21707400      0.20790997     
0.11706    0.21274500      0.20379263     
0.11767    0.20732200      0.19984823     
0.11828    0.20182800      0.19597499     
0.11889    0.19800100      0.19218564     
0.11950    0.19279200      0.18852192     
0.12010    0.18921200      0.18491124     
0.12071    0.18397400      0.18142001     
0.12132    0.17963500      0.17799148     
0.12193    0.17296700      0.17463029     
0.12254    0.16983200      0.17138522     
0.12314    0.16494500      0.16817901     
0.12375    0.16484600      0.16504777     
0.12436    0.16213900      0.16197661     
0.12497    0.15978100      0.15894684     
0.12558    0.15286900      0.15600668     
0.12618    0.14740200      0.15310041     
0.12679    0.14510600      0.15026075     
0.12740    0.14231600      0.14746236     
0.12801    0.13692500      0.14469347     
0.12862    0.13617200      0.14199891     
0.12923    0.13115500      0.13933034     
0.12983    0.12978500      0.13670599     
0.13044    0.12862900      0.13413612     
0.13105    0.12774300      0.13159127     
0.13166    0.12261300      0.12909659     
0.13226    0.11940700      0.12662886     
0.13287    0.11648400      0.12419604     
0.13348    0.11190900      0.12181039     
0.13409    0.10925100      0.11944315     
0.13470    0.10856800      0.11713650     
0.13531    0.10302500      0.11485497     
0.13591    0.10327200      0.11259823     
0.13652    0.10132000      0.11039126     
0.13713    0.09989820      0.10820641     
0.13774    0.09763100      0.10607274     
0.13835    0.09621090      0.10396868     
0.13895    0.08986380      0.10188704     
0.13956    0.08799000      0.09986018     
0.14017    0.08750460      0.09785477     
0.14078    0.08609720      0.09588983     
0.14139    0.08659210      0.09397118     
0.14200    0.08369650      0.09207712     
0.14260    0.08356300      0.09023889     
0.14321    0.07942500      0.08842314     
0.14382    0.08140350      0.08664882     
0.14443    0.08035510      0.08492052     
0.14503    0.07756170      0.08321586     
0.14564    0.07619790      0.08157863     
0.14625    0.07032970      0.07996662     
0.14686    0.07157350      0.07839048     
0.14747    0.07016150      0.07686627     
0.14808    0.06923040      0.07536434     
0.14868    0.06857690      0.07392844     
0.14929    0.06817580      0.07252320     
0.14990    0.06543700      0.07115112     
0.15051    0.06588960      0.06983636     
0.15112    0.06261430      0.06854612     
0.15172    0.06342290      0.06731195     
0.15233    0.06132940      0.06611693     
0.15294    0.06023420      0.06495445     
0.15355    0.05978670      0.06384900     
0.15416    0.06041570      0.06276694     
0.15476    0.05823880      0.06173454     
0.15537    0.05731620      0.06074446     
0.15598    0.05527090      0.05977965     
0.15659    0.05297220      0.05887540     
0.15720    0.05192250      0.05799312     
0.15781    0.05211700      0.05715271     
0.15841    0.05244870      0.05635620     
0.15902    0.05340400      0.05558233     
0.15963    0.05181080      0.05486172     
0.16024    0.04910700      0.05416338     
0.16084    0.05053300      0.05349990     
0.16145    0.04966930      0.05287892     
0.16206    0.05069970      0.05227731     
0.16267    0.04916680      0.05171903     
0.16328    0.04746860      0.05118332     
0.16389    0.04682470      0.05067377     
0.16449    0.04730430      0.05020239     
0.16510    0.04781640      0.04974748     
0.16571    0.04786370      0.04933158     
0.16632    0.04646940      0.04893504     
0.16693    0.04651430      0.04855617     
0.16753    0.04440240      0.04821019     
0.16814    0.04361420      0.04787765     
0.16875    0.04170610      0.04757427     
0.16936    0.04434280      0.04728770     
0.16997    0.04271390      0.04701287     
0.17057    0.04417600      0.04676513     
0.17118    0.04497700      0.04652758     
0.17179    0.04222350      0.04631011     
0.17240    0.04487850      0.04610569     
0.17301    0.04161700      0.04590889     
0.17361    0.04129510      0.04573238     
0.17422    0.04069940      0.04556324     
0.17483    0.04008350      0.04540684     
0.17544    0.04041440      0.04525901     
0.17605    0.04010640      0.04511550     
0.17666    0.03993810      0.04498422     
0.17726    0.03849770      0.04485819     
0.17787    0.03668650      0.04473905     
0.17848    0.03251890      0.04462481     
0.17909    0.03798200      0.04451305     
0.17969    0.03846260      0.04440817     
0.18030    0.03955780      0.04430447     
0.18091    0.04106430      0.04420196     
0.18152    0.03879970      0.04410021     
0.18213    0.03857620      0.04399917     
0.18274    0.03689410      0.04390115     
0.18334    0.03555860      0.04380107     
0.18395    0.03340780      0.04369941     
0.18456    0.03289040      0.04359579     
0.18517    0.03242290      0.04349156     
0.18578    0.03351120      0.04338621     
0.18638    0.03319650      0.04327653     
0.18699    0.03385320      0.04316434     
0.18760    0.03324720      0.04304608     
0.18821    0.03303210      0.04292650     
0.18882    0.03673540      0.04280456     
0.18942    0.03668820      0.04267526     
0.19003    0.03402140      0.04254242     
0.19064    0.03378950      0.04240345     
0.19125    0.03398310      0.04226137     
0.19186    0.03344990      0.04211479     
0.19246    0.03283790      0.04196041     
0.19307    0.03499680      0.04180300     
0.19368    0.03363420      0.04163876     
0.19429    0.03303360      0.04146927     
0.19490    0.03212090      0.04129399     
0.19551    0.03423790      0.04111083     
0.19611    0.03257780      0.04092475     
0.19672    0.03070270      0.04073285     
0.19733    0.03137410      0.04053461     
0.19794    0.03003410      0.04033099     
0.19854    0.03126810      0.04012150     
0.19915    0.03139930      0.03990843     
0.19976    0.03205500      0.03968670     
0.20037    0.03270920      0.03945990     
0.20098    0.03140970      0.03922983     
0.20158    0.03167300      0.03899362     
0.20219    0.03023950      0.03875412     
0.20280    0.03067040      0.03850807     
0.20341    0.02903150      0.03825680     
0.20402    0.03157860      0.03800285     
0.20463    0.02940980      0.03774419     
0.20523    0.02936320      0.03748220     
0.20584    0.03044180      0.03721438     
