# SAXS profile: number of points = 271, q_min = 0.0206642, q_max = 0.24952, delta_q = 0.000847614074074074
# offset = 0.00000000000000, scaling c = 3.19549160068613e-06, Chi = 2.12295128266110
#  q       exp_intensity   model_intensity
0.02066    36.05090000     34.79212765    
0.02151    35.50440000     34.55745602    
0.02236    35.16100000     34.31514275    
0.02321    35.12600000     34.06535179    
0.02405    34.93050000     33.80822727    
0.02490    34.52490000     33.54293867    
0.02575    34.45220000     33.27020464    
0.02660    33.99300000     32.99073899    
0.02745    33.29820000     32.70469682    
0.02829    33.01060000     32.41226102    
0.02914    32.69380000     32.11362896    
0.02999    32.36260000     31.80885577    
0.03084    31.80840000     31.49709579    
0.03168    31.37750000     31.17981059    
0.03253    31.44370000     30.85940633    
0.03338    31.00630000     30.53355488    
0.03423    30.61140000     30.20072706    
0.03507    30.17700000     29.86313139    
0.03592    29.43550000     29.52045277    
0.03677    29.08850000     29.17300377    
0.03762    28.79660000     28.82152264    
0.03846    28.38410000     28.46618393    
0.03931    27.99670000     28.10718037    
0.04016    27.63900000     27.74470361    
0.04101    27.39560000     27.37899251    
0.04185    26.93630000     27.00965780    
0.04270    26.33850000     26.64007567    
0.04355    26.02320000     26.26650308    
0.04440    25.70260000     25.88951382    
0.04525    25.48230000     25.51040857    
0.04609    24.75110000     25.12937028    
0.04694    24.45340000     24.74650550    
0.04779    24.28710000     24.36201188    
0.04864    23.76180000     23.97628365    
0.04948    23.27150000     23.58959202    
0.05033    22.88930000     23.20314145    
0.05118    22.67570000     22.81714616    
0.05203    22.45970000     22.42854806    
0.05287    22.05770000     22.03975659    
0.05372    21.58700000     21.65102182    
0.05457    21.15120000     21.26249389    
0.05542    20.94950000     20.87443898    
0.05626    20.36460000     20.48700134    
0.05711    19.83330000     20.10068051    
0.05796    19.38630000     19.71737835    
0.05881    18.97090000     19.33323524    
0.05965    18.71310000     18.95038014    
0.06050    18.40650000     18.56905491    
0.06135    17.87940000     18.18951160    
0.06220    17.58400000     17.81186018    
0.06304    17.29910000     17.43636130    
0.06389    16.86720000     17.06533102    
0.06474    16.44380000     16.69506647    
0.06559    15.91760000     16.32710608    
0.06644    15.54520000     15.96180373    
0.06728    15.31700000     15.59937803    
0.06813    15.09760000     15.24019479    
0.06898    14.79910000     14.88573419    
0.06983    14.32380000     14.53334136    
0.07067    13.83080000     14.18429541    
0.07152    13.50080000     13.83875948    
0.07237    13.13430000     13.49681019    
0.07322    12.63840000     13.15902848    
0.07406    12.22400000     12.82609926    
0.07491    12.03150000     12.49612043    
0.07576    11.79970000     12.17055337    
0.07661    11.32650000     11.84913962    
0.07745    11.08960000     11.53194142    
0.07830    10.81560000     11.21947137    
0.07915    10.66160000     10.91202634    
0.08000    10.40620000     10.60790420    
0.08084    10.19250000     10.30928076    
0.08169    9.86139000      10.01522529    
0.08254    9.47538000      9.72656081     
0.08339    9.19845000      9.44245814     
0.08424    9.00608000      9.16239374     
0.08508    8.72965000      8.88713331     
0.08593    8.41733000      8.61717015     
0.08678    8.23533000      8.35263406     
0.08763    8.02595000      8.09370480     
0.08847    7.73673000      7.83936126     
0.08932    7.37482000      7.58948547     
0.09017    7.13798000      7.34451664     
0.09102    6.97148000      7.10453055     
0.09186    6.78776000      6.87129806     
0.09271    6.65452000      6.64240239     
0.09356    6.39665000      6.41829917     
0.09441    6.14631000      6.19913186     
0.09525    5.92106000      5.98512213     
0.09610    5.73503000      5.77643680     
0.09695    5.52893000      5.57236685     
0.09780    5.37319000      5.37388773     
0.09864    5.25651000      5.18075764     
0.09949    5.07946000      4.99220465     
0.10034    4.81069000      4.80813401     
0.10119    4.56739000      4.62876725     
0.10204    4.42282000      4.45435945     
0.10288    4.30583000      4.28573701     
0.10373    4.15360000      4.12168117     
0.10458    3.97194000      3.96194860     
0.10543    3.84808000      3.80698872     
0.10627    3.69292000      3.65675981     
0.10712    3.59872000      3.51046117     
0.10797    3.46708000      3.36890371     
0.10882    3.21723000      3.23224493     
0.10966    3.10546000      3.10014865     
0.11051    2.98208000      2.97222635     
0.11136    2.84941000      2.84810829     
0.11221    2.75839000      2.72813729     
0.11305    2.64725000      2.61254712     
0.11390    2.49717000      2.50096288     
0.11475    2.41113000      2.39364961     
0.11560    2.32445000      2.29018679     
0.11645    2.26538000      2.19035495     
0.11729    2.15550000      2.09411529     
0.11814    2.03184000      2.00135681     
0.11899    1.92866000      1.91248276     
0.11983    1.87254000      1.82730689     
0.12068    1.80955000      1.74545700     
0.12153    1.71929000      1.66707899     
0.12238    1.64331000      1.59175031     
0.12323    1.54776000      1.51938530     
0.12407    1.47377000      1.45013406     
0.12492    1.39916000      1.38425234     
0.12577    1.33864000      1.32142416     
0.12662    1.29558000      1.26125594     
0.12746    1.23519000      1.20386905     
0.12831    1.17975000      1.14918059     
0.12916    1.11697000      1.09687032     
0.13001    1.07116000      1.04709461     
0.13085    1.02262000      1.00028217     
0.13170    0.96001000      0.95566778     
0.13255    0.91814400      0.91331076     
0.13340    0.88774900      0.87312008     
0.13425    0.83866200      0.83504634     
0.13509    0.80514900      0.79895519     
0.13594    0.77127600      0.76504058     
0.13679    0.73716000      0.73316662     
0.13764    0.69266500      0.70303576     
0.13848    0.65693300      0.67468537     
0.13933    0.64594900      0.64803305     
0.14018    0.62036300      0.62289370     
0.14103    0.59004500      0.59932346     
0.14187    0.57093700      0.57753863     
0.14272    0.55789800      0.55712563     
0.14357    0.53513900      0.53810264     
0.14442    0.50500200      0.52032410     
0.14526    0.47973300      0.50375429     
0.14611    0.45850800      0.48834565     
0.14696    0.44277700      0.47417390     
0.14781    0.42732600      0.46116837     
0.14865    0.43117900      0.44917644     
0.14950    0.42297700      0.43810757     
0.15035    0.40904400      0.42792388     
0.15120    0.39150800      0.41859354     
0.15204    0.39160600      0.41012480     
0.15289    0.38230300      0.40246178     
0.15374    0.37357100      0.39558627     
0.15459    0.37615000      0.38935362     
0.15543    0.37051600      0.38374372     
0.15628    0.36783700      0.37873345     
0.15713    0.35966400      0.37424107     
0.15798    0.34779400      0.37026947     
0.15882    0.34565500      0.36690934     
0.15967    0.35577400      0.36394106     
0.16052    0.35824900      0.36139654     
0.16137    0.35537000      0.35922740     
0.16222    0.35341500      0.35738452     
0.16306    0.34942600      0.35588645     
0.16391    0.35944400      0.35468256     
0.16476    0.35804300      0.35378928     
0.16561    0.34166900      0.35310996     
0.16645    0.33530600      0.35264639     
0.16730    0.32923900      0.35237284     
0.16815    0.32798500      0.35224677     
0.16900    0.34245500      0.35228001     
0.16984    0.33942900      0.35250191     
0.17069    0.33827400      0.35280094     
0.17154    0.34329000      0.35320932     
0.17239    0.35663000      0.35369373     
0.17324    0.35460200      0.35423523     
0.17408    0.35408400      0.35485024     
0.17493    0.34298600      0.35547787     
0.17578    0.33268000      0.35615817     
0.17663    0.34279100      0.35683225     
0.17747    0.36431200      0.35752068     
0.17832    0.37027600      0.35820614     
0.17917    0.35350500      0.35886812     
0.18002    0.36942300      0.35953575     
0.18086    0.37119000      0.36014765     
0.18171    0.35775100      0.36073684     
0.18256    0.35203000      0.36127147     
0.18341    0.35167600      0.36176860     
0.18425    0.35787300      0.36222586     
0.18510    0.36478000      0.36261184     
0.18595    0.36973600      0.36296619     
0.18680    0.37497200      0.36322384     
0.18764    0.37006200      0.36344048     
0.18849    0.37090100      0.36358864     
0.18934    0.37239600      0.36367012     
0.19019    0.36647300      0.36369489     
0.19104    0.36344600      0.36364733     
0.19188    0.36173400      0.36353736     
0.19273    0.36359700      0.36334198     
0.19358    0.37223600      0.36309476     
0.19442    0.37624000      0.36277725     
0.19527    0.36418500      0.36239202     
0.19612    0.36475600      0.36196595     
0.19697    0.37633600      0.36147831     
0.19782    0.36818900      0.36089019     
0.19866    0.36561900      0.36027351     
0.19951    0.37212300      0.35958582     
0.20036    0.37616700      0.35884602     
0.20121    0.36075000      0.35806746     
0.20205    0.36298100      0.35721727     
0.20290    0.37495100      0.35634574     
0.20375    0.38770600      0.35539854     
0.20460    0.38228600      0.35442943     
0.20544    0.37388900      0.35342892     
0.20629    0.37590100      0.35237931     
0.20714    0.36535100      0.35128521     
0.20799    0.36413000      0.35017900     
0.20883    0.36112000      0.34902283     
0.20968    0.34419400      0.34785405     
0.21053    0.33832200      0.34664818     
0.21138    0.34548100      0.34542608     
0.21222    0.34828200      0.34419862     
0.21307    0.34406400      0.34295015     
0.21392    0.34572000      0.34166253     
0.21477    0.34927000      0.34039285     
0.21562    0.34242500      0.33909101     
0.21646    0.34381600      0.33778649     
0.21731    0.34857200      0.33648994     
0.21816    0.34383800      0.33518440     
0.21901    0.33053800      0.33384888     
0.21985    0.33153700      0.33254132     
0.22070    0.33618100      0.33121862     
0.22155    0.33919500      0.32991151     
0.22240    0.33990900      0.32861630     
0.22324    0.32536000      0.32731335     
0.22409    0.31974000      0.32600202     
0.22494    0.31751800      0.32472902     
0.22579    0.31224900      0.32345796     
0.22663    0.31401800      0.32218377     
0.22748    0.32196100      0.32092757     
0.22833    0.32756800      0.31968096     
0.22918    0.31479700      0.31843576     
0.23003    0.31687800      0.31722753     
0.23087    0.32033400      0.31603113     
0.23172    0.31880300      0.31482893     
0.23257    0.32418700      0.31365295     
0.23342    0.32644100      0.31250157     
0.23426    0.32093600      0.31135392     
0.23511    0.30640100      0.31020330     
0.23596    0.30392500      0.30909732     
0.23681    0.30667500      0.30800440     
0.23765    0.31578500      0.30691154     
0.23850    0.30961700      0.30583740     
0.23935    0.29493600      0.30478508     
0.24020    0.28485000      0.30374512     
0.24104    0.29297400      0.30270708     
0.24189    0.29052200      0.30170523     
0.24274    0.28119700      0.30071310     
0.24359    0.28332000      0.29972123     
0.24443    0.30445200      0.29874602     
0.24528    0.30624700      0.29779057     
0.24613    0.30064300      0.29684622     
0.24698    0.29552300      0.29589527     
0.24782    0.29176100      0.29497787     
0.24867    0.27386100      0.29406983     
0.24952    0.26717500      0.29315958     
