# SAXS profile: number of points = 271, q_min = 0.0206642, q_max = 0.24952, delta_q = 0.000847614074074074
# offset = 0.00000000000000, scaling c = 2.98281032518147e-06, Chi = 3.17024647392542
#  q       exp_intensity   model_intensity
0.02066    36.05090000     34.67489946    
0.02151    35.50440000     34.44434848    
0.02236    35.16100000     34.20626703    
0.02321    35.12600000     33.96081218    
0.02405    34.93050000     33.70812119    
0.02490    34.52490000     33.44737438    
0.02575    34.45220000     33.17927556    
0.02660    33.99300000     32.90452334    
0.02745    33.29820000     32.62327221    
0.02829    33.01060000     32.33569867    
0.02914    32.69380000     32.04198998    
0.02999    32.36260000     31.74219960    
0.03084    31.80840000     31.43548417    
0.03168    31.37750000     31.12328546    
0.03253    31.44370000     30.80792610    
0.03338    31.00630000     30.48716098    
0.03423    30.61140000     30.15951727    
0.03507    30.17700000     29.82712944    
0.03592    29.43550000     29.48967065    
0.03677    29.08850000     29.14744580    
0.03762    28.79660000     28.80118841    
0.03846    28.38410000     28.45106565    
0.03931    27.99670000     28.09726651    
0.04016    27.63900000     27.73997907    
0.04101    27.39560000     27.37942976    
0.04185    26.93630000     27.01522151    
0.04270    26.33850000     26.65063313    
0.04355    26.02320000     26.28206721    
0.04440    25.70260000     25.91007456    
0.04525    25.48230000     25.53591037    
0.04609    24.75110000     25.15975776    
0.04694    24.45340000     24.78170648    
0.04779    24.28710000     24.40194461    
0.04864    23.76180000     24.02087300    
0.04948    23.27150000     23.63875798    
0.05033    22.88930000     23.25676192    
0.05118    22.67570000     22.87509286    
0.05203    22.45970000     22.49080301    
0.05287    22.05770000     22.10620416    
0.05372    21.58700000     21.72154758    
0.05457    21.15120000     21.33699125    
0.05542    20.94950000     20.95280035    
0.05626    20.36460000     20.56982011    
0.05711    19.83330000     20.18878804    
0.05796    19.38630000     19.80663330    
0.05881    18.97090000     19.42573282    
0.05965    18.71310000     19.04610685    
0.06050    18.40650000     18.66787528    
0.06135    17.87940000     18.29129304    
0.06220    17.58400000     17.91694031    
0.06304    17.29910000     17.54592306    
0.06389    16.86720000     17.17534218    
0.06474    16.44380000     16.80719576    
0.06559    15.91760000     16.44147154    
0.06644    15.54520000     16.07826053    
0.06728    15.31700000     15.71778282    
0.06813    15.09760000     15.36039473    
0.06898    14.79910000     15.00752348    
0.06983    14.32380000     14.65660373    
0.07067    13.83080000     14.30888876    
0.07152    13.50080000     13.96453728    
0.07237    13.13430000     13.62362615    
0.07322    12.63840000     13.28672235    
0.07406    12.22400000     12.95448711    
0.07491    12.03150000     12.62509180    
0.07576    11.79970000     12.29995047    
0.07661    11.32650000     11.97882181    
0.07745    11.08960000     11.66176579    
0.07830    10.81560000     11.34928045    
0.07915    10.66160000     11.04166141    
0.08000    10.40620000     10.73726361    
0.08084    10.19250000     10.43820547    
0.08169    9.86139000      10.14358547    
0.08254    9.47538000      9.85419658     
0.08339    9.19845000      9.56924658     
0.08424    9.00608000      9.28823630     
0.08508    8.72965000      9.01190848     
0.08593    8.41733000      8.74074224     
0.08678    8.23533000      8.47578779     
0.08763    8.02595000      8.21491826     
0.08847    7.73673000      7.95857147     
0.08932    7.37482000      7.70704219     
0.09017    7.13798000      7.46048870     
0.09102    6.97148000      7.21947105     
0.09186    6.78776000      6.98338049     
0.09271    6.65452000      6.75227803     
0.09356    6.39665000      6.52602355     
0.09441    6.14631000      6.30498008     
0.09525    5.92106000      6.08894850     
0.09610    5.73503000      5.87719643     
0.09695    5.52893000      5.67066403     
0.09780    5.37319000      5.46964245     
0.09864    5.25651000      5.27389134     
0.09949    5.07946000      5.08266498     
0.10034    4.81069000      4.89587646     
0.10119    4.56739000      4.71374377     
0.10204    4.42282000      4.53652617     
0.10288    4.30583000      4.36501802     
0.10373    4.15360000      4.19805418     
0.10458    3.97194000      4.03538276     
0.10543    3.84808000      3.87744740     
0.10627    3.69292000      3.72421807     
0.10712    3.59872000      3.57490659     
0.10797    3.46708000      3.43032375     
