# SAXS profile: number of points = 271, q_min = 0.0206642, q_max = 0.24952, delta_q = 0.000847614074074074
# offset = 0.00000000000000, scaling c = 2.30324697443438e-06, Chi = 1.88139620109496
#  q       exp_intensity   model_intensity
0.02066    36.05090000     34.97294010    
0.02151    35.50440000     34.73536610    
0.02236    35.16100000     34.48993059    
0.02321    35.12600000     34.23498639    
0.02405    34.93050000     33.97260338    
0.02490    34.52490000     33.70195159    
0.02575    34.45220000     33.42376371    
0.02660    33.99300000     33.13876718    
0.02745    33.29820000     32.84712767    
0.02829    33.01060000     32.54903512    
0.02914    32.69380000     32.24469200    
0.02999    32.36260000     31.93416325    
0.03084    31.80840000     31.61660184    
0.03168    31.37750000     31.29349527    
0.03253    31.44370000     30.96502664    
0.03338    31.00630000     30.63137831    
0.03423    30.61140000     30.29274426    
0.03507    30.17700000     29.94935131    
0.03592    29.43550000     29.60089531    
0.03677    29.08850000     29.24769080    
0.03762    28.79660000     28.89250175    
0.03846    28.38410000     28.53271364    
0.03931    27.99670000     28.16803779    
0.04016    27.63900000     27.79994301    
0.04101    27.39560000     27.42867701    
0.04185    26.93630000     27.05386775    
0.04270    26.33850000     26.67632783    
0.04355    26.02320000     26.29638744    
0.04440    25.70260000     25.91422386    
0.04525    25.48230000     25.53004027    
0.04609    24.75110000     25.14402346    
0.04694    24.45340000     24.75629915    
0.04779    24.28710000     24.36926332    
0.04864    23.76180000     23.97947772    
0.04948    23.27150000     23.58825295    
0.05033    22.88930000     23.19634760    
0.05118    22.67570000     22.80396394    
0.05203    22.45970000     22.41127632    
0.05287    22.05770000     22.01855883    
0.05372    21.58700000     21.62604342    
0.05457    21.15120000     21.23388127    
0.05542    20.94950000     20.84234518    
0.05626    20.36460000     20.45219343    
0.05711    19.83330000     20.06409684    
0.05796    19.38630000     19.67542969    
0.05881    18.97090000     19.28834511    
0.05965    18.71310000     18.90281861    
0.06050    18.40650000     18.51897973    
0.06135    17.87940000     18.13708162    
0.06220    17.58400000     17.75723462    
0.06304    17.29910000     17.37959314    
0.06389    16.86720000     17.00467255    
0.06474    16.44380000     16.63392219    
0.06559    15.91760000     16.26494810    
0.06644    15.54520000     15.89827543    
0.06728    15.31700000     15.53463475    
0.06813    15.09760000     15.17411676    
0.06898    14.79910000     14.81695667    
0.06983    14.32380000     14.46382751    
0.07067    13.83080000     14.11423758    
0.07152    13.50080000     13.76913440    
0.07237    13.13430000     13.42767169    
0.07322    12.63840000     13.08932429    
0.07406    12.22400000     12.75492262    
0.07491    12.03150000     12.42509966    
0.07576    11.79970000     12.09982161    
0.07661    11.32650000     11.77881596    
0.07745    11.08960000     11.46275297    
0.07830    10.81560000     11.15116187    
0.07915    10.66160000     10.84332569    
0.08000    10.40620000     10.54005546    
0.08084    10.19250000     10.24239802    
0.08169    9.86139000      9.94940465     
0.08254    9.47538000      9.66113577     
0.08339    9.19845000      9.37807076     
0.08424    9.00608000      9.10002615     
0.08508    8.72965000      8.82615504     
0.08593    8.41733000      8.55765425     
0.08678    8.23533000      8.29465121     
0.08763    8.02595000      8.03657536     
0.08847    7.73673000      7.78389571     
0.08932    7.37482000      7.53622526     
0.09017    7.13798000      7.29299170     
0.09102    6.97148000      7.05476101     
0.09186    6.78776000      6.82248232     
0.09271    6.65452000      6.59531168     
0.09356    6.39665000      6.37353300     
0.09441    6.14631000      6.15660451     
0.09525    5.92106000      5.94426857     
0.09610    5.73503000      5.73683876     
0.09695    5.52893000      5.53470369     
0.09780    5.37319000      5.33815887     
0.09864    5.25651000      5.14687517     
0.09949    5.07946000      4.96019588     
0.10034    4.81069000      4.77803129     
0.10119    4.56739000      4.60055488     
0.10204    4.42282000      4.42801196     
0.10288    4.30583000      4.26113490     
0.10373    4.15360000      4.09887500     
0.10458    3.97194000      3.94092158     
0.10543    3.84808000      3.78746057     
0.10627    3.69292000      3.63861418     
0.10712    3.59872000      3.49406077     
0.10797    3.46708000      3.35451626     
0.10882    3.21723000      3.21944364     
0.10966    3.10546000      3.08855516     
0.11051    2.98208000      2.96195718     
0.11136    2.84941000      2.83940894     
0.11221    2.75839000      2.72096621     
0.11305    2.64725000      2.60637011     
0.11390    2.49717000      2.49606189     
0.11475    2.41113000      2.38995895     
0.11560    2.32445000      2.28761390     
0.11645    2.26538000      2.18885570     
0.11729    2.15550000      2.09365463     
0.11814    2.03184000      2.00183080     
0.11899    1.92866000      1.91361283     
0.11983    1.87254000      1.82949735     
0.12068    1.80955000      1.74848203     
0.12153    1.71929000      1.67069278     
0.12238    1.64331000      1.59591608     
0.12323    1.54776000      1.52422352     
0.12407    1.47377000      1.45567855     
0.12492    1.39916000      1.39009932     
0.12577    1.33864000      1.32769716     
0.12662    1.29558000      1.26802802     
0.12746    1.23519000      1.21095091     
0.12831    1.17975000      1.15643885     
0.12916    1.11697000      1.10436653     
0.13001    1.07116000      1.05477899     
0.13085    1.02262000      1.00807734     
0.13170    0.96001000      0.96354735     
0.13255    0.91814400      0.92123545     
0.13340    0.88774900      0.88103880     
0.13425    0.83866200      0.84291607     
0.13509    0.80514900      0.80674501     
0.13594    0.77127600      0.77261145     
0.13679    0.73716000      0.74058766     
0.13764    0.69266500      0.71034509     
0.13848    0.65693300      0.68177419     
