# SAXS profile: number of points = 332, q_min = 0.018969, q_max = 0.299529, delta_q = 0.000847613293051359
# offset = 0.00000000000000, scaling c = 1.61897037527542e-06, Chi = 1.77741491134934
#  q       exp_intensity   model_intensity
0.01897    30.18340000     27.44960779    
0.01982    29.87640000     27.20777617    
0.02066    28.73540000     26.95811272    
0.02151    28.55280000     26.70084738    
0.02236    28.12690000     26.43624447    
0.02321    28.08040000     26.16457441    
0.02405    27.81750000     25.88609128    
0.02490    27.48890000     25.60019318    
0.02575    26.44090000     25.30771116    
0.02660    26.38170000     25.00941835    
0.02745    26.47050000     24.70558702    
0.02829    25.88400000     24.39650823    
0.02914    25.14670000     24.08248401    
0.02999    24.91420000     23.76371478    
0.03084    24.46240000     23.43976145    
0.03168    23.57770000     23.11192764    
0.03253    23.30910000     22.78048437    
0.03338    22.93150000     22.44571377    
0.03423    22.49330000     22.10790350    
0.03507    22.21570000     21.76736046    
0.03592    21.87050000     21.42412541    
0.03677    21.48030000     21.07860563    
0.03762    21.07450000     20.73140932    
0.03846    19.99830000     20.38278701    
0.03931    19.83040000     20.03300930    
0.04016    19.58560000     19.68234343    
0.04101    18.87330000     19.33108937    
0.04185    18.21000000     18.97951418    
0.04270    18.08860000     18.62796731    
0.04355    17.79350000     18.27679029    
0.04440    17.40680000     17.92620108    
0.04525    17.26680000     17.57644197    
0.04609    16.72610000     17.22773834    
0.04694    16.32550000     16.88048488    
0.04779    16.13450000     16.53506040    
0.04864    15.85370000     16.19147976    
0.04948    15.54490000     15.85002006    
0.05033    15.03280000     15.51084791    
0.05118    14.89910000     15.17416570    
0.05203    14.46240000     14.84014655    
0.05287    13.97760000     14.50957331    
0.05372    13.60540000     14.18223502    
0.05457    13.53410000     13.85815525    
0.05542    13.46150000     13.53756259    
0.05626    12.95240000     13.22057193    
0.05711    12.42180000     12.90733369    
0.05796    11.96710000     12.59819385    
0.05881    11.77470000     12.29374891    
0.05965    11.71830000     11.99348234    
0.06050    11.72730000     11.69747138    
0.06135    11.54380000     11.40588309    
0.06220    10.91700000     11.11877057    
0.06304    10.50040000     10.83621880    
0.06389    10.39200000     10.55901086    
0.06474    9.89531000      10.28685435    
0.06559    9.77016000      10.01948916    
