# SAXS profile: number of points = 328, q_min = 0.0223594, q_max = 0.299529, delta_q = 0.000847613455657492
# offset = 0.00000000000000, scaling c = 3.54742137949521e-07, Chi = 1.71026146757148
#  q       exp_intensity   model_intensity
0.02236    14.43900000     15.45545935    
0.02321    13.79610000     15.10979919    
0.02405    14.08830000     14.76145377    
0.02490    13.65730000     14.41099976    
0.02575    13.60510000     14.05960432    
0.02660    13.21190000     13.70806783    
0.02745    13.19570000     13.35705399    
0.02829    12.75130000     13.00721721    
0.02914    12.25070000     12.65919626    
0.02999    12.31230000     12.31364398    
0.03084    12.36400000     11.97186666    
0.03168    11.68630000     11.63397432    
0.03253    11.30700000     11.30044151    
0.03338    10.76750000     10.97173621    
0.03423    10.83710000     10.64830146    
0.03507    10.52360000     10.33056481    
0.03592    10.37990000     10.01964298    
0.03677    10.29470000     9.71595034     
0.03762    9.48719000      9.41919019     
0.03846    9.01718000      9.12959134     
0.03931    8.85006000      8.84737906     
0.04016    8.44015000      8.57274732     
0.04101    7.86383000      8.30587918     
0.04185    7.70924000      8.04858172     
0.04270    7.67854000      7.79936467     
0.04355    7.75649000      7.55825722     
0.04440    7.03956000      7.32525609     
0.04525    6.31780000      7.10035635     
0.04609    6.65776000      6.88352185     
0.04694    6.67082000      6.67539176     
0.04779    6.63067000      6.47621128     
0.04864    6.80659000      6.28477925     
0.04948    6.56320000      6.10099633     
0.05033    5.99261000      5.92468472     
0.05118    5.76652000      5.75567484     
0.05203    5.94121000      5.59377258     
0.05287    5.67196000      5.43998906     
0.05372    5.33725000      5.29302833     
0.05457    4.82864000      5.15238892     
0.05542    4.64510000      5.01786099     
0.05626    4.68164000      4.88918203     
0.05711    4.41770000      4.76610390     
0.05796    4.57571000      4.64864988     
0.05881    4.28930000      4.53698386     
0.05965    4.45456000      4.42998886     
0.06050    4.44377000      4.32739583     
0.06135    4.27073000      4.22897116     
0.06220    4.24736000      4.13444747     
0.06304    4.34650000      4.04357581     
0.06389    4.14968000      3.95657039     
0.06474    3.91215000      3.87282515     
0.06559    3.97405000      3.79189120     
0.06644    3.83564000      3.71354155     
0.06728    3.68377000      3.63758680     
0.06813    3.61324000      3.56381920     
0.06898    3.67672000      3.49210624     
0.06983    3.57155000      3.42248415     
0.07067    3.44320000      3.35442402     
