# SAXS profile: number of points = 496, q_min = 0.022805, q_max = 0.32379, delta_q = 0.000608050505050505
# offset = 0.00000000000000, scaling c = 8.97694474513734e-07, Chi = 1.31185804617415
#  q       exp_intensity   model_intensity
0.02280    3.78596000      3.78014367     
0.02341    3.72607000      3.76674239     
0.02402    3.76454000      3.75316173     
0.02463    3.70630000      3.73910303     
0.02524    3.70586000      3.72485469     
0.02584    3.70613000      3.71030948     
0.02645    3.69353000      3.69538513     
0.02706    3.67170000      3.68031652     
0.02767    3.67483000      3.66482784     
0.02828    3.65387000      3.64913171     
0.02889    3.67973000      3.63318930     
0.02949    3.61790000      3.61688488     
0.03010    3.64139000      3.60042417     
0.03071    3.60389000      3.58360264     
0.03132    3.56608000      3.56653126     
0.03193    3.57432000      3.54928626     
0.03254    3.52302000      3.53168177     
0.03314    3.48559000      3.51393386     
0.03375    3.52069000      3.49587905     
0.03436    3.47221000      3.47759608     
0.03497    3.45400000      3.45915485     
0.03558    3.45155000      3.44035793     
0.03618    3.43557000      3.42140006     
0.03679    3.43371000      3.40222060     
0.03740    3.42408000      3.38281033     
0.03801    3.47996000      3.36327561     
0.03862    3.46088000      3.34340879     
0.03922    3.35947000      3.32342126     
0.03983    3.32118000      3.30322680     
0.04044    3.36272000      3.28280775     
0.04105    3.26523000      3.26224510     
0.04166    3.26422000      3.24144107     
0.04226    3.28865000      3.22051181     
0.04287    3.24882000      3.19942046     
0.04348    3.20925000      3.17811356     
0.04409    3.17277000      3.15671194     
0.04470    3.13807000      3.13508992     
0.04530    3.15486000      3.11334320     
0.04591    3.15289000      3.09143661     
0.04652    3.15047000      3.06936659     
0.04713    3.08220000      3.04721667     
0.04774    3.03637000      3.02489378     
0.04835    3.04935000      3.00245442     
0.04895    3.03196000      2.97992686     
0.04956    3.01308000      2.95721975     
0.05017    2.94414000      2.93444799     
0.05078    2.91209000      2.91150986     
0.05139    2.87529000      2.88850276     
0.05199    2.81911000      2.86543475     
0.05260    2.83563000      2.84221674     
0.05321    2.81021000      2.81894903     
0.05382    2.82574000      2.79559018     
0.05443    2.78557000      2.77214274     
0.05504    2.76402000      2.74865122     
0.05564    2.71482000      2.72501402     
0.05625    2.68501000      2.70137509     
0.05686    2.68072000      2.67767892     
0.05747    2.62419000      2.65391465     
0.05808    2.64437000      2.63012081     
0.05868    2.57809000      2.60626252     
0.05929    2.52802000      2.58237510     
0.05990    2.49849000      2.55845616     
0.06051    2.48483000      2.53449742     
0.06112    2.47963000      2.51048466     
0.06173    2.47084000      2.48648294     
0.06233    2.44043000      2.46246903     
0.06294    2.41160000      2.43844505     
0.06355    2.46049000      2.41440851     
0.06416    2.39723000      2.39037157     
0.06477    2.35142000      2.36633736     
0.06537    2.35380000      2.34231117     
0.06598    2.32379000      2.31825054     
0.06659    2.28776000      2.29425276     
0.06720    2.26485000      2.27026789     
0.06781    2.22800000      2.24630830     
0.06841    2.20370000      2.22238200     
0.06902    2.17847000      2.19847341     
0.06963    2.13783000      2.17462077     
0.07024    2.13859000      2.15079561     
0.07085    2.13613000      2.12697407     
0.07146    2.10668000      2.10325223     
0.07206    2.08022000      2.07956038     
0.07267    2.08547000      2.05595171     
0.07328    2.04353000      2.03238988     
0.07389    1.98434000      2.00888328     
0.07450    1.96430000      1.98546708     
0.07510    1.92149000      1.96209203     
0.07571    1.89109000      1.93881758     
0.07632    1.88510000      1.91557491     
0.07693    1.84515000      1.89243357     
0.07754    1.86021000      1.86941513     
0.07814    1.83315000      1.84644846     
0.07875    1.83421000      1.82359540     
0.07936    1.77192000      1.80083703     
0.07997    1.73202000      1.77814391     
0.08058    1.71258000      1.75560995     
0.08118    1.69141000      1.73313735     
0.08179    1.69496000      1.71074901     
0.08240    1.67520000      1.68851843     
0.08301    1.67314000      1.66635314     
0.08362    1.66939000      1.64437605     
0.08422    1.64778000      1.62247265     
0.08483    1.61285000      1.60069467     
0.08544    1.57587000      1.57906581     
0.08605    1.57079000      1.55751055     
0.08666    1.54131000      1.53611540     
0.08727    1.51521000      1.51485068     
0.08787    1.50668000      1.49370849     
0.08848    1.48174000      1.47274564     
0.08909    1.49792000      1.45186400     
0.08970    1.41472000      1.43117987     
0.09031    1.41704000      1.41061435     
0.09091    1.37262000      1.39016590     
0.09152    1.38344000      1.36992562     
0.09213    1.36778000      1.34974005     
0.09274    1.34457000      1.32978305     
0.09335    1.34961000      1.30996865     
0.09395    1.32933000      1.29026151     
0.09456    1.27245000      1.27079296     
0.09517    1.27326000      1.25141696     
0.09578    1.22352000      1.23222874     
0.09639    1.19248000      1.21320974     
0.09699    1.18405000      1.19428737     
0.09760    1.16393000      1.17560160     
0.09821    1.14829000      1.15704379     
0.09882    1.14695000      1.13866353     
