# SAXS profile: number of points = 379, q_min = 0.019764, q_max = 0.249619, delta_q = 0.000608082010582011
# offset = 0.00000000000000, scaling c = 4.77852243679867e-08, Chi = 3.26356666842952
#  q       exp_intensity   model_intensity
0.01976    6.85778000      6.85636931     
0.02037    6.69706000      6.77084122     
0.02098    6.68696000      6.68441104     
0.02159    6.48174000      6.59582244     
0.02220    6.49780000      6.50672001     
0.02280    6.49113000      6.41638470     
0.02341    6.46261000      6.32497820     
0.02402    6.33005000      6.23302029     
0.02463    6.21262000      6.13978661     
0.02524    6.12642000      6.04613311     
0.02584    6.09763000      5.95182240     
0.02645    5.93090000      5.85673940     
0.02706    5.90177000      5.76154198     
0.02767    5.65213000      5.66581442     
0.02828    5.59845000      5.56992846     
0.02889    5.54240000      5.47385445     
0.02949    5.44947000      5.37768224     
0.03010    5.33271000      5.28150536     
0.03071    5.30477000      5.18541763     
0.03132    5.19486000      5.08944418     
0.03193    5.09302000      4.99387548     
0.03254    5.01253000      4.89859636     
0.03314    4.92509000      4.80352749     
0.03375    4.82765000      4.70901382     
0.03436    4.69743000      4.61504413     
0.03497    4.56794000      4.52145174     
0.03558    4.39851000      4.42889485     
0.03618    4.30951000      4.33662893     
0.03679    4.30996000      4.24539928     
0.03740    4.27762000      4.15510414     
0.03801    4.20663000      4.06531558     
0.03862    3.97676000      3.97707585     
0.03922    3.97485000      3.88946117     
0.03983    3.82211000      3.80291800     
0.04044    3.73611000      3.71769507     
0.04105    3.73042000      3.63299238     
0.04166    3.60902000      3.55020282     
0.04226    3.53015000      3.46829652     
0.04287    3.41778000      3.38753350     
0.04348    3.40733000      3.30844001     
0.04409    3.26527000      3.23010729     
0.04470    3.21409000      3.15364044     
0.04530    3.08399000      3.07829762     
0.04591    2.96999000      3.00394939     
0.04652    2.97656000      2.93169265     
0.04713    2.88509000      2.86025817     
0.04774    2.81860000      2.79065408     
0.04835    2.72785000      2.72239176     
0.04895    2.67019000      2.65514548     
0.04956    2.58271000      2.59008891     
0.05017    2.52745000      2.52587641     
0.05078    2.47085000      2.46327407     
0.05139    2.38587000      2.40228207     
0.05199    2.36555000      2.34215099     
0.05260    2.31657000      2.28436070     
0.05321    2.26471000      2.22739983     
0.05382    2.20822000      2.17196303     
0.05443    2.14219000      2.11820477     
0.05504    2.06607000      2.06528335     
0.05564    2.01552000      2.01432988     
0.05625    1.99340000      1.96438213     
0.05686    1.95656000      1.91573698     
0.05747    1.88584000      1.86876070     
0.05808    1.85463000      1.82254799     
0.05868    1.83103000      1.77818550     
0.05929    1.76114000      1.73480849     
0.05990    1.73012000      1.69249796     
0.06051    1.69214000      1.65184848     
0.06112    1.67411000      1.61182863     
0.06173    1.61528000      1.57342350     
0.06233    1.56261000      1.53602932     
0.06294    1.51902000      1.49947004     
0.06355    1.47159000      1.46450640     
0.06416    1.43177000      1.43015225     
0.06477    1.44697000      1.39705630     
0.06537    1.41241000      1.36495155     
0.06598    1.35498000      1.33341953     
0.06659    1.35020000      1.30343101     
0.06720    1.31395000      1.27396323     
0.06781    1.28385000      1.24547949     
0.06841    1.24139000      1.21793726     
0.06902    1.20954000      1.19088337     
0.06963    1.15372000      1.16508532     
0.07024    1.16458000      1.13978629     
0.07085    1.12336000      1.11522273     
0.07146    1.09609000      1.09152643     
0.07206    1.09985000      1.06822049     
0.07267    1.08747000      1.04588609     
0.07328    1.06441000      1.02401544     
0.07389    1.05140000      1.00269168     
0.07450    1.01210000      0.98213669     
0.07510    0.97767200      0.96190623     
0.07571    0.96037300      0.94240638     
0.07632    0.93082900      0.92330595     
0.07693    0.92363900      0.90462592     
0.07754    0.91411900      0.88661460     
0.07814    0.88850800      0.86886013     
0.07875    0.86359200      0.85164387     
0.07936    0.84370200      0.83481506     
0.07997    0.82476900      0.81825315     
0.08058    0.80315600      0.80226575     
0.08118    0.80481700      0.78647973     
0.08179    0.78467800      0.77105886     
0.08240    0.77195400      0.75600616     
0.08301    0.74735200      0.74113804     
0.08362    0.72895400      0.72677645     
0.08422    0.72413500      0.71256886     
0.08483    0.70620300      0.69862342     
0.08544    0.69210100      0.68498058     
0.08605    0.67083800      0.67148373     
0.08666    0.65846300      0.65832336     
0.08727    0.65374900      0.64534392     
0.08787    0.62311400      0.63256934     
0.08848    0.60895200      0.62006695     
0.08909    0.60077500      0.60768378     
0.08970    0.59699200      0.59557718     
0.09031    0.57619700      0.58362516     
0.09091    0.56806100      0.57182568     
0.09152    0.56056700      0.56027778     
0.09213    0.55504500      0.54881343     
0.09274    0.54174300      0.53759018     
0.09335    0.52523600      0.52652130     
0.09395    0.51226500      0.51556854     
0.09456    0.48975700      0.50486059     
0.09517    0.48365600      0.49425089     
0.09578    0.47796000      0.48384229     
0.09639    0.46948600      0.47358071     
0.09699    0.46280900      0.46340309     
0.09760    0.45491800      0.45345648     
0.09821    0.44511400      0.44361452     
0.09882    0.43114700      0.43393371     
0.09943    0.41619900      0.42442432     
0.10004    0.40739200      0.41500148     
0.10064    0.39980900      0.40580836     
0.10125    0.39307500      0.39671647     
0.10186    0.38242100      0.38776757     
0.10247    0.37488500      0.37900521     
0.10308    0.36445900      0.37032910     
0.10368    0.35450900      0.36185233     
0.10429    0.34802400      0.35350779     
0.10490    0.33794100      0.34529045     
0.10551    0.33225700      0.33728795     
0.10612    0.32714400      0.32937142     
0.10673    0.32116200      0.32164029     
0.10733    0.31167800      0.31404239     
0.10794    0.31025000      0.30655452     
0.10855    0.29881400      0.29928649     
0.10916    0.29338800      0.29209324     
0.10977    0.28259800      0.28509157     
0.11037    0.27121300      0.27823876     
0.11098    0.26765600      0.27147910     
0.11159    0.26392200      0.26495158     
0.11220    0.25636400      0.25850866     
0.11281    0.24962700      0.25222628     
0.11341    0.24382300      0.24610467     
0.11402    0.23986300      0.24006720     
0.11463    0.23368100      0.23426401     
0.11524    0.22724300      0.22853656     
0.11585    0.21633600      0.22295036     
0.11646    0.21070000      0.21753306     
0.11706    0.20310800      0.21219519     
0.11767    0.20295400      0.20705303     
0.11828    0.19913900      0.20201001     
0.11889    0.19179800      0.19708392     
0.11950    0.19084600      0.19232834     
0.12010    0.18555500      0.18764657     
0.12071    0.18498700      0.18313578     
0.12132    0.17795100      0.17872137     
0.12193    0.17299600      0.17440778     
0.12254    0.16771400      0.17027114     
0.12314    0.16508900      0.16620004     
