# | FILE                           | hit counts | ZScore sum. | Hit score (decimal) | Hit score (binary)
1 | 23904.B99990030_MSE.dat | 2 | -2.338 | 68 | 1000100
2 | Basic300_0_B10010001_MSE.dat | 5 | -6.484 | 2167872 | 1000010001010001000000
3 | Basic300_0_B10020001_MSE.dat | 7 | -8.777 | 2169924 | 1000010001110001000100
4 | Basic300_0_B10030001_MSE.dat | 6 | -7.190 | 2167876 | 1000010001010001000100
5 | Basic300_0_B10040001_MSE.dat | 6 | -7.527 | 2168900 | 1000010001100001000100
6 | Basic300_0_B10050001_MSE.dat | 4 | -5.695 | 2101316 | 1000000001000001000100
7 | Basic300_0_B10060001_MSE.dat | 4 | -5.946 | 2103360 | 1000000001100001000000
8 | Basic300_0_B10070001_MSE.dat | 5 | -5.898 | 2102340 | 1000000001010001000100
9 | Basic300_0_B10080001_MSE.dat | 6 | -7.849 | 2104388 | 1000000001110001000100
10 | Basic300_0_B10090001_MSE.dat | 6 | -7.766 | 2104388 | 1000000001110001000100
11 | Basic300_0_B10100001_MSE.dat | 6 | -7.340 | 2104388 | 1000000001110001000100
12 | Basic300_0_B10110001_MSE.dat | 6 | -7.813 | 2103369 | 1000000001100001001001
13 | Basic300_0_B10120001_MSE.dat | 6 | -7.323 | 2103309 | 1000000001100000001101
14 | Basic300_0_B10130001_MSE.dat | 6 | -7.557 | 2103369 | 1000000001100001001001
15 | Basic300_0_B10140001_MSE.dat | 6 | -7.058 | 2103369 | 1000000001100001001001
16 | Basic300_0_B10150001_MSE.dat | 6 | -6.979 | 2103369 | 1000000001100001001001
17 | Basic300_0_B10160001_MSE.dat | 4 | -4.498 | 2101313 | 1000000001000001000001
18 | Basic300_0_B10170001_MSE.dat | 4 | -4.618 | 2103297 | 1000000001100000000001
19 | Basic300_0_B10180001_MSE.dat | 4 | -4.309 | 2101313 | 1000000001000001000001
20 | Basic300_0_B10190001_MSE.dat | 3 | -2.970 | 2162689 | 1000010000000000000001
21 | Basic300_0_B10200001_MSE.dat | 3 | -2.884 | 2162689 | 1000010000000000000001
22 | Basic300_0_B10210001_MSE.dat | 4 | -4.050 | 2166785 | 1000010001000000000001
23 | Basic300_0_B10220001_MSE.dat | 4 | -3.791 | 2162697 | 1000010000000000001001
24 | Basic300_0_B10230001_MSE.dat | 3 | -2.666 | 2097161 | 1000000000000000001001
25 | Basic300_0_B10240001_MSE.dat | 4 | -3.489 | 2097165 | 1000000000000000001101
26 | Basic300_0_B10250001_MSE.dat | 4 | -3.624 | 2162697 | 1000010000000000001001
27 | Basic300_0_B10260001_MSE.dat | 4 | -3.603 | 65549 | 10000000000001101
28 | Basic300_0_B10270001_MSE.dat | 3 | -2.761 | 4105 | 1000000001001
29 | Basic300_0_B10280001_MSE.dat | 1 | -0.965 | 4 | 100
30 | Basic300_0_B10290001_MSE.dat | 3 | -2.621 | 4105 | 1000000001001
31 | Basic300_0_B10300001_MSE.dat | 3 | -2.968 | 76 | 1001100
32 | Basic300_0_B10310001_MSE.dat | 4 | -3.788 | 4172 | 1000001001100
33 | Basic300_0_B10320001_MSE.dat | 2 | -1.785 | 65544 | 10000000000001000
34 | Basic300_0_B10330001_MSE.dat | 2 | -1.873 | 65544 | 10000000000001000
35 | Basic300_0_B10340001_MSE.dat | 2 | -1.833 | 65544 | 10000000000001000
36 | Basic300_0_B10350001_MSE.dat | 4 | -3.854 | 69644 | 10001000000001100
37 | Basic300_0_B10360001_MSE.dat | 3 | -3.064 | 65548 | 10000000000001100
38 | Basic300_0_B10370001_MSE.dat | 4 | -4.118 | 69644 | 10001000000001100
39 | Basic300_0_B10380001_MSE.dat | 3 | -3.203 | 65548 | 10000000000001100
40 | Basic300_0_B10390001_MSE.dat | 4 | -4.316 | 67596 | 10000100000001100
41 | Basic300_0_B10400001_MSE.dat | 3 | -3.283 | 65548 | 10000000000001100
42 | Basic300_0_B10410001_MSE.dat | 3 | -3.202 | 65548 | 10000000000001100
43 | Basic300_0_B10420001_MSE.dat | 3 | -3.172 | 65548 | 10000000000001100
44 | Basic300_0_B10430001_MSE.dat | 2 | -2.354 | 65544 | 10000000000001000
45 | Basic300_0_B10440001_MSE.dat | 3 | -3.402 | 65548 | 10000000000001100
46 | Basic300_0_B10450001_MSE.dat | 3 | -3.488 | 65548 | 10000000000001100
47 | Basic300_0_B10460001_MSE.dat | 4 | -4.815 | 65804 | 10000000100001100
48 | Basic300_0_B10470001_MSE.dat | 3 | -3.596 | 65548 | 10000000000001100
49 | Basic300_0_B10480001_MSE.dat | 3 | -3.551 | 65548 | 10000000000001100
50 | Basic300_0_B10490001_MSE.dat | 4 | -4.503 | 65612 | 10000000001001100
51 | Basic300_0_B10500001_MSE.dat | 4 | -4.616 | 65612 | 10000000001001100
52 | Basic300_0_B10510001_MSE.dat | 4 | -4.630 | 65612 | 10000000001001100
53 | Basic300_0_B10520001_MSE.dat | 4 | -4.538 | 65612 | 10000000001001100
54 | Basic300_0_B10530001_MSE.dat | 5 | -5.855 | 65868 | 10000000101001100
55 | Basic300_0_B10540001_MSE.dat | 3 | -3.586 | 65548 | 10000000000001100
56 | Basic300_0_B10550001_MSE.dat | 3 | -3.454 | 65548 | 10000000000001100
57 | Basic300_0_B10560001_MSE.dat | 3 | -3.352 | 65548 | 10000000000001100
58 | Basic300_0_B10570001_MSE.dat | 4 | -4.230 | 65676 | 10000000010001100
59 | Basic300_0_B10580001_MSE.dat | 5 | -5.446 | 65740 | 10000000011001100
60 | Basic300_0_B10590001_MSE.dat | 6 | -6.519 | 98508 | 11000000011001100
61 | Basic300_0_B10600001_MSE.dat | 6 | -6.297 | 98508 | 11000000011001100
62 | Basic300_0_B10610001_MSE.dat | 3 | -3.428 | 65548 | 10000000000001100
63 | Basic300_0_B10620001_MSE.dat | 3 | -3.435 | 65548 | 10000000000001100
64 | Basic300_0_B10630001_MSE.dat | 3 | -3.486 | 65548 | 10000000000001100
65 | Basic300_0_B10640001_MSE.dat | 3 | -3.492 | 65548 | 10000000000001100
66 | Basic300_0_B10650001_MSE.dat | 5 | -5.136 | 98318 | 11000000000001110
67 | Basic300_0_B10660001_MSE.dat | 6 | -6.170 | 98319 | 11000000000001111
68 | Basic300_0_B10670001_MSE.dat | 5 | -5.383 | 65551 | 10000000000001111
69 | Basic300_0_B10680001_MSE.dat | 5 | -5.365 | 65551 | 10000000000001111
70 | Basic300_0_B10690001_MSE.dat | 5 | -5.614 | 65551 | 10000000000001111
71 | Basic300_0_B10700001_MSE.dat | 5 | -5.571 | 65607 | 10000000001000111
72 | Basic300_0_B10710001_MSE.dat | 6 | -6.442 | 196679 | 110000000001000111
